,analyze_start,analyze_end,analyze_range,quantile,site_no,valid,threshold,hmf_years,annual_hmf,six_mo_hmf,three_mo_hmf,duration,inter_annual,intra_annual,CoM,jan_hmf,feb_hmf,mar_hmf,apr_hmf,may_hmf,jun_hmf,jul_hmf,aug_hmf,sep_hmf,oct_hmf,nov_hmf,dec_hmf,mk_trend,mk_h,mk_p,mk_z,mk_tau,mk_s,mk_var_s,mk_slope,mk_int,dec_lat_va,dec_long_va,data_start,data_end,total_record,State,HCDN_2009
0,10/1/1990,9/30/2020,30,0.9,11342000,TRUE,2860,30,0.227743562,0.208757321,0.131835354,36.4,100,6.066666667,161,0.083609561,0.070636891,0.070286779,0.047934939,0.035147097,0.020930454,0,0,0,0.022239372,0.008465151,0.060603307,no trend,FALSE,0.568058624,-0.570912992,-0.075862069,-33,3141.666667,-3.83E-08,4.75E-06,40.93959397,-122.4172351,10/1/1944,9/30/2020,76,CA,FALSE
1,10/1/1990,9/30/2020,30,0.9,11345500,TRUE,185,23,0.014614459,0.001383273,2.94E-05,47.47826087,76.66666667,4.260869565,257,0.000599411,3.79E-05,0.000340074,0.003079994,0.008389657,0.005962033,0.00113986,0.000832948,0.00025689,0,0,0,no trend,FALSE,0.654116579,-0.448050739,-0.059770115,-26,3113.333333,-5.63E-10,1.02E-07,41.2307286,-120.4371726,10/1/1928,9/30/2020,92,CA,FALSE
2,10/1/1990,9/30/2020,30,0.9,11348500,FALSE,563.6,25,0.072013816,0.047344486,0.022847219,43.84,83.33333333,4.4,196,0.017053422,0.02586801,0.022780248,0.017463481,0.026365739,0.012922723,0,0,0,0,0.003458969,0.004883732,no trend,FALSE,0.591505037,-0.536656315,-0.071264368,-31,3125,-6.62E-09,6.19E-07,41.40600116,-120.9277458,1/1/1904,9/30/2020,116.7,CA,FALSE
3,10/1/1990,9/30/2020,30,0.9,11355500,FALSE,177,6,0.004904161,0.001047542,0.000485645,50.66666667,20,5.166666667,244,0.00034986,0.001497304,0.000168814,0.000937854,0.001845126,0.002716311,0.000568829,1.47E-05,0,5.14E-05,0.000220192,0.000716847,increasing,TRUE,0.013688965,2.465323366,0.222988506,97,1516.333333,0,0,40.6891111,-121.4228056,7/7/1926,9/30/2020,94.2,CA,FALSE
4,10/1/1990,9/30/2020,30,0.9,11370500,TRUE,14800,22,1.25209064,1.191126425,0.649143217,48.09090909,73.33333333,5.590909091,231,0.547788265,0.850282865,0.690837655,0.367689722,0.129423846,0.014085285,0.015151293,0.003704814,0,0,0.001223288,0.169645548,no trend,FALSE,0.129904984,-1.51447668,-0.195402299,-85,3076.333333,-6.30E-07,2.15E-05,40.6009835,-122.4444553,10/1/1938,9/30/2020,82,CA,FALSE
5,10/1/1990,9/30/2020,30,0.9,11372000,TRUE,362,30,0.031449668,0.027994614,0.019775915,36.5,100,7.5,174,0.011681053,0.011123515,0.007928684,0.003783701,0.004095043,0.00306236,0,0,0,0.002170113,0.00060054,0.005190777,no trend,FALSE,0.802761792,0.249774434,0.034482759,15,3141.666667,4.17E-09,5.10E-07,40.51320587,-122.5241795,10/1/1940,9/30/2020,80,CA,FALSE
6,10/1/1990,9/30/2020,30,0.9,11374000,TRUE,1630,30,0.204585909,0.196254504,0.144519218,36.33333333,100,9.1,155,0.076489525,0.055811281,0.046532847,0.018720166,0.027915427,0.007959526,0,0,0,0.000913388,0.009948388,0.049209809,no trend,FALSE,0.69468683,-0.392502682,-0.052873563,-23,3141.666667,-2.33E-08,3.90E-06,40.50487467,-122.2330577,10/1/1949,9/30/2020,71,CA,FALSE
7,10/1/1990,9/30/2020,30,0.9,11376000,TRUE,2120,30,0.278093272,0.271582934,0.19692405,36.43333333,100,5.6,150,0.128091822,0.115237044,0.083279102,0.038686476,0.022812569,0.01781107,0,0,0,0,0.006666918,0.062756102,no trend,FALSE,0.276384965,-1.088476137,-0.142528736,-62,3140.666667,-9.75E-08,6.20E-06,40.38709797,-122.2386119,10/1/1940,9/30/2020,80,CA,FALSE
8,10/1/1990,9/30/2020,30,0.9,11376550,TRUE,872,29,0.050161548,0.043035686,0.029165458,37.34482759,96.66666667,7.793103448,162,0.015549456,0.01492589,0.013062396,0.010222492,0.014654743,0.011680441,0.00170037,0,0,0,0.001822699,0.012143506,no trend,FALSE,0.77529443,0.285456496,0.03908046,17,3141.666667,7.21E-09,6.28E-07,40.39820996,-122.1463869,10/1/1961,9/30/2020,59,CA,FALSE
9,10/1/1990,9/30/2020,30,0.9,11377100,TRUE,17600,28,1.84774123,1.767082877,1.060144873,39.07142857,93.33333333,5.25,161,0.600132105,0.739245034,0.770709927,0.504826398,0.267969924,0.095477611,0.000733973,0,0,0,0.051255758,0.218540361,no trend,FALSE,0.326389162,-0.981412911,-0.128735632,-56,3140.666667,-3.62E-07,2.09E-05,40.28848836,-122.1866645,10/1/1900,9/30/2020,120,CA,FALSE
10,10/1/1990,9/30/2020,30,0.9,11379500,TRUE,246,30,0.034494676,0.03291109,0.023332094,36.5,100,6.533333333,153,0.014396874,0.013361083,0.010078843,0.005189012,0.005783006,0.002342188,0,0,0,0,0.000511334,0.008639722,no trend,FALSE,0.186756138,-1.320236294,-0.172413793,-75,3141.666667,-1.36E-08,6.87E-07,40.02376507,-122.5119462,10/1/1948,9/30/2020,72,CA,FALSE
11,10/1/1990,9/30/2020,30,0.9,11381500,TRUE,608.3,30,0.046600675,0.0426646,0.029900741,36.53333333,100,8.333333333,164,0.016761929,0.013310881,0.011876945,0.007398754,0.007257766,0.003248128,0.000715868,0,0,0.00052002,0.001773604,0.013454389,no trend,FALSE,0.943107962,-0.071364124,-0.011494253,-5,3141.666667,-1.34E-09,6.47E-07,40.0546022,-122.0241541,10/1/1928,9/30/2020,92,CA,FALSE
