,State,analyze_start,analyze_end,analyze_range,quantile,site_no,valid,threshold,hmf_years,annual_hmf,six_mo_hmf,three_mo_hmf,duration,inter_annual,intra_annual,CoM,jan_hmf,feb_hmf,mar_hmf,apr_hmf,may_hmf,jun_hmf,jul_hmf,aug_hmf,sep_hmf,oct_hmf,nov_hmf,dec_hmf,mk_trend,mk_h,mk_p,mk_z,mk_tau,mk_s,mk_var_s,mk_slope,mk_int,dec_lat_va,dec_long_va,data_start,data_end,total_record,HCDN_2009
0,MS,1990-10-01,2020-09-30,30.0,0.9,02431000,True,1850.0,29.0,0.22113752715723278,0.17427716897933596,0.11537459723349783,36.51724137931034,96.66666666666667,10.068965517241379,193.0,0.03795489655016932,0.055641978333027066,0.03350829868130304,0.03116724500210087,0.0508398398508672,0.02181900555328582,0.0064694447658432,0.01117106394413184,0.0117955523523096,0.0183330060931584,0.0192025598185512,0.0450771350329944,no trend,False,0.3007717594347785,-1.0347797982030915,-0.135632183908046,-59.0,3141.6666666666665,-4.1451506984461536e-08,4.337879512843693e-06,34.26500000,-88.44527780,1928-08-13,2020-09-30,92.1,False
1,MS,1990-10-01,2020-09-30,30.0,0.9,02433500,False,4670.0,27.0,0.42209499304551046,0.3233983232320064,0.2156230458637696,36.44444444444444,90.0,8.407407407407407,190.0,0.0680444166262949,0.1132321764238848,0.07413246233884511,0.06119986400142048,0.12756444898095362,0.0609441968568384,0.0163064260156896,0.0027156988563264,0.0156685688197056,0.0236135316471264,0.0225873291263424,0.10755513087602978,no trend,False,0.9005550912706546,0.12496015936153784,0.01839080459770115,8.0,3138.0,1.7922898200941204e-08,7.677896414998352e-06,34.01138889,-88.51361110,1944-10-01,2020-09-30,76.0,False
2,MS,1990-10-01,2020-09-30,30.0,0.9,02435020,False,903.1999999999998,19.0,0.14967992095992827,0.11429816349244863,0.07049258888499665,36.63157894736842,63.33333333333333,15.68421052631579,201.0,0.018774857636809347,0.03489878830557726,0.021574501218544515,0.019353309648458692,0.028187308250573292,0.007078711979015426,0.015553370062556929,0.006032195114291137,0.014534126689993343,0.01936990558591402,0.008691392903229976,0.024007785303385595,no trend,False,0.2635417835678311,-1.1180590284244536,-0.1425287356321839,-62.0,2976.6666666666665,-9.670877324533313e-09,1.5159309211502332e-06,34.23555556,-88.69583330,1970-10-01,2020-09-30,50.0,False
3,MS,1990-10-01,2020-09-30,30.0,0.9,02436500,True,2250.0,30.0,0.3498456236590426,0.26780134376624837,0.1658623270566125,36.46666666666667,100.0,16.466666666666665,199.0,0.0473394892657824,0.0683005252581936,0.046706000954702405,0.0486702516075408,0.06290660797919091,0.0266187419430912,0.023594774567938563,0.01238945856615936,0.017270599196866913,0.0241986709652688,0.0228020840909568,0.06684420788565563,no trend,False,0.568058623631595,-0.5709129921120505,-0.07586206896551724,-33.0,3141.6666666666665,-4.700596535600006e-08,6.503954911321001e-06,34.05916667,-88.62805560,1939-10-01,2020-09-30,81.0,False
4,MS,1990-10-01,2020-09-30,30.0,0.9,02439400,True,3030.0,30.0,0.28822861852698817,0.23614510277344897,0.15303819356840448,36.36666666666667,100.0,8.133333333333333,177.0,0.05582008903279335,0.06907247361392345,0.0441627274225872,0.05229608416512919,0.07665447396442752,0.037461149238844804,0.0107404666479936,0.0109606584471552,0.010434644704713602,0.0235931435175744,0.028811485276408803,0.0583233028029288,no trend,False,0.802761791874143,-0.24977443404902208,-0.034482758620689655,-15.0,3141.6666666666665,-2.9065220402999966e-08,6.415838952597499e-06,33.79000000,-88.31527780,1966-07-27,2020-09-30,54.2,False
5,MS,1990-10-01,2017-10-12,27.0,0.9,02441390,False,14700.0,7.0,0.9332637176528641,0.801008833838976,0.41434504429536007,30.0,25.925925925925924,9.142857142857142,191.0,0.25293513522211203,0.164042890375392,0.213586045186752,0.257869062573696,0.18006796020326402,0.012722192840448001,0.146060560110528,0.0,0.0,0.034007400092736,0.045750962714688,0.18165823430832,increasing,True,0.0009076589805960822,3.3176877287249504,0.3386243386243386,128.0,1465.3333333333333,0.0,0.0,33.51750000,-88.48944440,1900-10-01,2017-10-12,117.0,False
6,MS,1990-10-01,2020-09-30,30.0,0.9,02443500,False,2543.000000000011,30.0,0.24137115124525305,0.21152154318831567,0.12336490205583218,36.53333333333333,100.0,7.933333333333334,179.0,0.05763561119313962,0.06260673903956773,0.0421367834547602,0.06750413314418387,0.056285183044133345,0.016549554460597082,0.01565612623549891,0.0038403080824146573,0.005313350442546647,0.022296254596771554,0.01769811973890899,0.03921927325410329,no trend,False,0.7481053914270006,0.3211385580630284,0.04367816091954023,19.0,3141.6666666666665,2.567823134863639e-08,4.433600850396773e-06,33.51416667,-88.39527780,1928-08-10,2020-09-30,92.1,False
7,MS,1990-10-01,2020-09-30,30.0,0.9,02448000,True,3173.9999999999964,30.0,0.24609336825957037,0.21448132873163972,0.12052907634018603,36.53333333333333,100.0,7.366666666666666,186.0,0.05715155992824897,0.06864752226135354,0.04742065642593741,0.06244557871704775,0.055008105560075585,0.014797587925244196,0.019851513982191395,0.009013184312348174,0.03662768250275908,0.032474865170571306,0.012419516494298918,0.033747199587583,no trend,False,0.6685166224807093,0.4281847440840379,0.05747126436781609,25.0,3141.6666666666665,4.096503808133332e-08,4.264611487448667e-06,33.07236110,-88.55877780,1928-08-08,2020-09-30,92.1,False
8,MS,1990-10-01,2020-09-30,30.0,0.9,02448500,True,4970.0,30.0,0.3165811670071815,0.2753539224774912,0.15977606262274946,36.43333333333333,100.0,7.6,187.0,0.07329195726586185,0.09049318351184936,0.06082845501368935,0.0717672354295176,0.0481343350593168,0.027723778564809596,0.0126549120129264,0.005325379438982401,0.0368862039854784,0.0512374083771312,0.01633823149779072,0.041930227236643206,no trend,False,0.568058623631595,0.5709129921120505,0.07586206896551724,33.0,3141.6666666666665,9.572509993130003e-08,5.64532440950415e-06,32.93262870,-88.29781030,1939-03-01,2020-09-30,81.6,False
9,AL,1990-10-01,2020-09-30,30.0,0.9,02378500,False,162.0,30.0,0.023074551054289728,0.011148392344070017,0.00450455334321888,36.3,100.0,15.466666666666667,258.0,0.00315130580715456,0.0014434795722815998,0.00322982923182912,0.00514468235935296,0.00209158908484032,0.00196506617802048,0.004140350434186936,0.001487295516155171,0.005790036904489863,0.0028884882542796002,0.001379436859453553,0.0016436094519640323,no trend,False,0.9431079616717606,-0.07136412401400631,-0.011494252873563218,-5.0,3141.6666666666665,-1.415842329999997e-09,4.1039605777379997e-07,30.54547146,-87.79860149,1953-07-01,2020-09-30,67.2,False
