site_no,water_year,annual_hmf,annual_duration,event_hmf,event_duration,total_events,timing
11447650,1990,0.0,0,0.0,0.0,0.0,NA
11447650,1991,0.0,0,0.0,0.0,0.0,NA
11447650,1992,2.24228648812896,51,0.56057162203224,12.75,4.0,149.0
11447650,1993,0.0,0,0.0,0.0,0.0,NA
11447650,1994,6.569299999209024,111,1.642324999802256,27.75,4.0,171.0
11447650,1995,3.2828150679448322,68,1.6414075339724161,34.0,2.0,147.0
11447650,1996,5.009118773371776,68,5.009118773371776,68.0,1.0,104.0
11447650,1997,5.812574182756992,129,1.1625148365513984,25.8,5.0,162.0
11447650,1998,2.876438869714368,65,0.9588129565714559,21.666666666666668,3.0,137.0
11447650,1999,2.283633614860416,40,1.141816807430208,20.0,2.0,152.0
11447650,2000,0.0,0,0.0,0.0,0.0,NA
11447650,2001,0.268633994977152,10,0.268633994977152,10.0,1.0,97.0
11447650,2002,0.676233480980736,36,0.112705580163456,6.0,6.0,109.0
11447650,2003,1.2612096940867201,31,0.6306048470433601,15.5,2.0,148.0
11447650,2004,0.413715924869184,15,0.137905308289728,5.0,3.0,234.0
11447650,2005,6.470213689586304,127,2.156737896528768,42.333333333333336,3.0,168.0
11447650,2006,0.0,0,0.0,0.0,0.0,NA
11447650,2007,0.0,0,0.0,0.0,0.0,NA
11447650,2008,0.0,0,0.0,0.0,0.0,NA
11447650,2009,0.106181378706816,8,0.106181378706816,8.0,1.0,116.0
11447650,2010,2.631047342426496,53,0.877015780808832,17.666666666666668,3.0,173.0
11447650,2011,0.0,0,0.0,0.0,0.0,NA
11447650,2012,0.385824963642048,15,0.192912481821024,7.5,2.0,84.0
11447650,2013,0.0,0,0.0,0.0,0.0,NA
11447650,2014,0.039389866294464,9,0.039389866294464004,9.0,1.0,78.0
11447650,2015,0.942910215520896,23,0.471455107760448,11.5,2.0,168.0
11447650,2016,7.507072406082816,138,2.5023574686942722,46.0,3.0,153.0
11447650,2017,0.37848523700332803,12,0.18924261850166402,6.0,2.0,189.0
11447650,2018,3.4917526195937283,83,0.8729381548984321,20.75,4.0,167.0
11447650,2019,0.0,0,0.0,0.0,0.0,NA
13335050,1990,0.00449680585398912,17,0.00224840292699456,8.5,2.0,237.0
13335050,1991,0.0,0,0.0,0.0,0.0,NA
13335050,1992,0.00608463338349888,32,0.001216926676699776,6.4,5.0,214.0
13335050,1993,0.0,0,0.0,0.0,0.0,NA
13335050,1994,0.00989395150899456,46,0.00164899191816576,7.666666666666667,6.0,168.0
13335050,1995,0.04105109109036096,75,0.00513138638629512,9.375,8.0,165.0
13335050,1996,0.06665939733285504,106,0.009522771047550721,15.142857142857142,7.0,201.0
13335050,1997,0.02018914140757248,59,0.004037828281514496,11.8,5.0,244.0
13335050,1998,0.06795118922126976,129,0.006177380838297251,11.727272727272727,11.0,198.0
13335050,1999,0.00432554556575232,24,0.000865109113150464,4.8,5.0,196.0
13335050,2000,4.89315109248e-06,1,4.89315109248e-06,1.0,1.0,210.0
13335050,2001,0.00392186060062272,23,0.00065364343343712,3.8333333333333335,6.0,195.0
13335050,2002,0.00366497016826752,23,0.00091624254206688,5.75,4.0,171.0
13335050,2003,0.0,0,0.0,0.0,0.0,NA
13335050,2004,0.0,0,0.0,0.0,0.0,NA
13335050,2005,0.00676967453644608,44,0.001353934907289216,8.8,5.0,200.0
13335050,2006,0.00011254247512704,2,0.00011254247512704,2.0,1.0,164.0
13335050,2007,0.035751808457205124,52,0.011917269485735042,17.333333333333332,3.0,236.0
13335050,2008,0.02757779955721728,61,0.005515559911443456,12.2,5.0,216.0
13335050,2009,0.00027646303672512003,3,0.00027646303672512003,3.0,1.0,248.0
13335050,2010,0.022063218275992322,54,0.00315188832514176,7.714285714285714,7.0,233.0
13335050,2011,0.0291020161225248,66,0.0145510080612624,33.0,2.0,194.0
13335050,2012,0.00103000830496704,10,0.0005150041524835201,5.0,2.0,66.0
13335050,2013,0.010153288516896,34,0.0020306577033792,6.8,5.0,164.0
13335050,2014,0.000672808275216,4,0.0006728082752160001,4.0,1.0,130.0
13335050,2015,0.0,0,0.0,0.0,0.0,NA
13335050,2016,0.0403317978797664,95,0.0100829494699416,23.75,4.0,183.0
13335050,2017,0.0066938306945126405,42,0.0009562615277875201,6.0,7.0,213.0
13335050,2018,0.01519812729324288,39,0.00379953182331072,9.75,4.0,192.0
13335050,2019,0.00754034583351168,33,0.00188508645837792,8.25,4.0,218.0
