,index,datetime,00060_Mean,00060_Mean_cd,site_no,flow_bool
0,3202,1990-06-01 00:00:00+00:00,173188800.0,"A, e",09516500,1
1,3203,1990-06-02 00:00:00+00:00,167140800.0,"A, e",09516500,1
2,3204,1991-01-01 00:00:00+00:00,0.0,A,09516500,0
3,3205,1991-01-02 00:00:00+00:00,0.0,A,09516500,0
4,3206,1991-01-03 00:00:00+00:00,0.0,A,09516500,0
5,3207,1991-01-04 00:00:00+00:00,0.0,A,09516500,0
6,3208,1991-01-05 00:00:00+00:00,0.0,A,09516500,0
7,3209,1991-01-06 00:00:00+00:00,0.0,A,09516500,0
8,3210,1991-01-07 00:00:00+00:00,0.0,A,09516500,0
9,3211,1991-01-08 00:00:00+00:00,0.0,A,09516500,0
10,3212,1991-01-09 00:00:00+00:00,0.0,A,09516500,0
11,3213,1991-01-10 00:00:00+00:00,0.0,A,09516500,0
12,3214,1991-01-11 00:00:00+00:00,0.0,A,09516500,0
13,3215,1991-01-12 00:00:00+00:00,0.0,A,09516500,0
14,3216,1991-01-13 00:00:00+00:00,0.0,A,09516500,0
15,3217,1991-01-14 00:00:00+00:00,0.0,A,09516500,0
16,3218,1991-01-15 00:00:00+00:00,0.0,A,09516500,0
17,3219,1991-01-16 00:00:00+00:00,0.0,A,09516500,0
18,3220,1991-01-17 00:00:00+00:00,0.0,A,09516500,0
19,3221,1991-01-18 00:00:00+00:00,0.0,A,09516500,0
20,3222,1991-01-19 00:00:00+00:00,0.0,A,09516500,0
21,3223,1991-01-20 00:00:00+00:00,0.0,A,09516500,0
22,3224,1991-01-21 00:00:00+00:00,0.0,A,09516500,0
23,3225,1991-01-22 00:00:00+00:00,0.0,A,09516500,0
24,3226,1991-01-23 00:00:00+00:00,0.0,A,09516500,0
25,3227,1991-01-24 00:00:00+00:00,0.0,A,09516500,0
26,3228,1991-01-25 00:00:00+00:00,0.0,A,09516500,0
27,3229,1991-01-26 00:00:00+00:00,0.0,A,09516500,0
28,3230,1991-01-27 00:00:00+00:00,0.0,A,09516500,0
29,3231,1991-01-28 00:00:00+00:00,0.0,A,09516500,0
30,3232,1991-01-29 00:00:00+00:00,0.0,A,09516500,0
31,3233,1991-01-30 00:00:00+00:00,0.0,A,09516500,0
32,3234,1991-01-31 00:00:00+00:00,0.0,A,09516500,0
33,3235,1991-02-01 00:00:00+00:00,0.0,A,09516500,0
34,3236,1991-02-02 00:00:00+00:00,0.0,A,09516500,0
35,3237,1991-02-03 00:00:00+00:00,0.0,A,09516500,0
36,3238,1991-02-04 00:00:00+00:00,0.0,A,09516500,0
37,3239,1991-02-05 00:00:00+00:00,0.0,A,09516500,0
38,3240,1991-02-06 00:00:00+00:00,0.0,A,09516500,0
39,3241,1991-02-07 00:00:00+00:00,0.0,A,09516500,0
40,3242,1991-02-08 00:00:00+00:00,0.0,A,09516500,0
41,3243,1991-02-09 00:00:00+00:00,0.0,"A, e",09516500,0
42,3244,1991-02-10 00:00:00+00:00,0.0,"A, e",09516500,0
43,3245,1991-02-11 00:00:00+00:00,0.0,"A, e",09516500,0
44,3246,1991-02-12 00:00:00+00:00,0.0,"A, e",09516500,0
45,3247,1991-02-13 00:00:00+00:00,0.0,"A, e",09516500,0
46,3248,1991-02-14 00:00:00+00:00,0.0,"A, e",09516500,0
47,3249,1991-02-15 00:00:00+00:00,0.0,"A, e",09516500,0
48,3250,1991-02-16 00:00:00+00:00,0.0,"A, e",09516500,0
49,3251,1991-02-17 00:00:00+00:00,0.0,"A, e",09516500,0
50,3252,1991-02-18 00:00:00+00:00,0.0,"A, e",09516500,0
51,3253,1991-02-19 00:00:00+00:00,0.0,"A, e",09516500,0
52,3254,1991-02-20 00:00:00+00:00,0.0,"A, e",09516500,0
53,3255,1991-02-21 00:00:00+00:00,0.0,"A, e",09516500,0
54,3256,1991-02-22 00:00:00+00:00,0.0,"A, e",09516500,0
55,3257,1991-02-23 00:00:00+00:00,0.0,"A, e",09516500,0
56,3258,1991-02-24 00:00:00+00:00,0.0,"A, e",09516500,0
57,3259,1991-02-25 00:00:00+00:00,0.0,"A, e",09516500,0
58,3260,1991-02-26 00:00:00+00:00,0.0,"A, e",09516500,0
59,3261,1991-02-27 00:00:00+00:00,0.0,"A, e",09516500,0
60,3262,1991-02-28 00:00:00+00:00,0.0,"A, e",09516500,0
61,3263,1991-02-28 00:00:00+00:00,0.0,"A, e",09516500,0
62,3264,1991-02-28 00:00:00+00:00,0.0,"A, e",09516500,0
63,3265,1991-03-01 00:00:00+00:00,0.0,A,09516500,0
64,3266,1991-03-02 00:00:00+00:00,0.0,"A, e",09516500,0
65,3267,1991-03-03 00:00:00+00:00,0.0,"A, e",09516500,0
66,3268,1991-03-04 00:00:00+00:00,0.0,"A, e",09516500,0
67,3269,1991-03-05 00:00:00+00:00,0.0,"A, e",09516500,0
68,3270,1991-03-06 00:00:00+00:00,0.0,"A, e",09516500,0
69,3271,1991-03-07 00:00:00+00:00,0.0,"A, e",09516500,0
70,3272,1991-03-08 00:00:00+00:00,0.0,"A, e",09516500,0
71,3273,1991-03-09 00:00:00+00:00,0.0,"A, e",09516500,0
72,3274,1991-03-10 00:00:00+00:00,0.0,"A, e",09516500,0
73,3275,1991-03-11 00:00:00+00:00,0.0,"A, e",09516500,0
74,3276,1991-03-12 00:00:00+00:00,0.0,"A, e",09516500,0
75,3277,1991-03-13 00:00:00+00:00,0.0,"A, e",09516500,0
76,3278,1991-03-14 00:00:00+00:00,0.0,"A, e",09516500,0
77,3279,1991-03-15 00:00:00+00:00,0.0,"A, e",09516500,0
78,3280,1991-03-16 00:00:00+00:00,0.0,"A, e",09516500,0
79,3281,1991-03-17 00:00:00+00:00,0.0,"A, e",09516500,0
80,3282,1991-03-18 00:00:00+00:00,0.0,"A, e",09516500,0
81,3283,1991-03-19 00:00:00+00:00,0.0,"A, e",09516500,0
82,3284,1991-03-20 00:00:00+00:00,0.0,"A, e",09516500,0
83,3285,1991-03-21 00:00:00+00:00,0.0,"A, e",09516500,0
84,3286,1991-03-22 00:00:00+00:00,0.0,"A, e",09516500,0
85,3287,1991-03-23 00:00:00+00:00,0.0,"A, e",09516500,0
86,3288,1991-03-24 00:00:00+00:00,0.0,"A, e",09516500,0
87,3289,1991-03-25 00:00:00+00:00,0.0,"A, e",09516500,0
88,3290,1991-03-26 00:00:00+00:00,0.0,"A, e",09516500,0
89,3291,1991-03-27 00:00:00+00:00,0.0,"A, e",09516500,0
90,3292,1991-03-28 00:00:00+00:00,0.0,"A, e",09516500,0
91,3293,1991-03-29 00:00:00+00:00,0.0,"A, e",09516500,0
92,3294,1991-03-30 00:00:00+00:00,0.0,"A, e",09516500,0
93,3295,1991-03-31 00:00:00+00:00,0.0,"A, e",09516500,0
94,3296,1991-04-01 00:00:00+00:00,0.0,A,09516500,0
95,3297,1991-04-02 00:00:00+00:00,0.0,A,09516500,0
96,3298,1991-04-03 00:00:00+00:00,0.0,A,09516500,0
97,3299,1991-04-04 00:00:00+00:00,0.0,A,09516500,0
98,3300,1991-04-05 00:00:00+00:00,0.0,A,09516500,0
99,3301,1991-04-06 00:00:00+00:00,8683200.0,A,09516500,1
100,3302,1991-04-07 00:00:00+00:00,0.0,A,09516500,0
101,3303,1991-04-08 00:00:00+00:00,0.0,A,09516500,0
