site_no,datetime,agency_cd,peak_tm,peak_va,peak_cd,gage_ht,gage_ht_cd,year_last_pk,ag_dt,ag_tm,ag_gage_ht,ag_gage_ht_cd
09423350,1990-07-14 00:00:00+00:00,USGS,,114.0,2,3.02,,,,,,
09423350,1991-03-01 00:00:00+00:00,USGS,,20.0,,1.79,,,,,,
09423350,1992-03-27 00:00:00+00:00,USGS,,33.0,,2.06,,,,,,
09423350,1993-08-25 00:00:00+00:00,USGS,,125.0,2,3.11,,,,,,
09423350,1994-01-25 00:00:00+00:00,USGS,,1.6,,0.99,,,,,,
09423350,1995-01-25 00:00:00+00:00,USGS,,21.0,,1.82,,,,,,
09423350,1996-07-15 00:00:00+00:00,USGS,,,,9.75,,,,,,
09423350,1997-09-25 00:00:00+00:00,USGS,,16.0,,1.35,,,,,,
09423350,1998-09-06 00:00:00+00:00,USGS,,43.0,,1.64,,,,,,
09423350,1999-07-15 00:00:00+00:00,USGS,,12.0,,1.56,,,,,,
09423350,2000-02-21 00:00:00+00:00,USGS,,23.0,,1.44,,,,,,
09423350,2001-03-07 00:00:00+00:00,USGS,,4.0,,1.03,,,,,,
09423350,2002-07-18 00:00:00+00:00,USGS,,3.2,,0.96,,,,,,
09423350,2003-09-05 00:00:00+00:00,USGS,,6.9,,1.23,,,,,,
09423350,2004-02-26 00:00:00+00:00,USGS,,7.6,,1.08,,,,,,
09423350,2004-12-29 00:00:00+00:00,USGS,,105.0,,2.94,,,,,,
09423350,2006-07-04 00:00:00+00:00,USGS,,8.8,,1.33,,,,,,
09423350,2007-08-01 00:00:00+00:00,USGS,,90.0,,2.8,,,,,,
09423350,2007-12-01 00:00:00+00:00,USGS,,7.8,,1.28,,,,,,
09423350,2009-08-23 00:00:00+00:00,USGS,,18.0,,1.67,,,,,,
09423350,2010-02-06 00:00:00+00:00,USGS,,2.7,,0.84,,,,,,
09423350,2010-12-22 00:00:00+00:00,USGS,,35.0,,2.04,,,,,,
09423350,2011-12-18 00:00:00+00:00,USGS,,0.03,,0.11,,,,,,
09423350,2013-08-24 00:00:00+00:00,USGS,,47.0,,2.27,,,,,,
09423350,2014-08-03 00:00:00+00:00,USGS,,136.0,,3.2,,,,,,
09423350,2015-08-27 00:00:00+00:00,USGS,,44.0,,2.22,,,,,,
09423350,2016-08-04 00:00:00+00:00,USGS,,7.8,,1.28,,,,,,
09423350,2017-02-18 00:00:00+00:00,USGS,,7.83,,1.28,,,,,,
09423350,2018-07-13 00:00:00+00:00,USGS,10:37,15.7,,1.6,,,,,,
09423350,2019-02-14 00:00:00+00:00,USGS,16:15,13.4,,1.52,,,,,,
09423350,2020-03-12 00:00:00+00:00,USGS,19:37,8.41,,1.31,,,,,,
09423350,2021-08-13 00:00:00+00:00,USGS,15:38,142.0,,3.24,,,,,,
09423350,2022-08-11 00:00:00+00:00,USGS,13:07,94.9,,2.85,,,,,,
09427520,1990-06-27 00:00:00+00:00,USGS,,16000.0,"1,6",,,,,,,
09427520,1991-07-16 00:00:00+00:00,USGS,,16100.0,"1,6",,,,,,,
09427520,1992-06-29 00:00:00+00:00,USGS,,14600.0,,,,,,,,
09427520,1993-04-26 00:00:00+00:00,USGS,,12300.0,"1,6",,,,,,,
09427520,1994-04-20 00:00:00+00:00,USGS,,15400.0,"1,6",,,,,,,
09427520,1995-04-08 00:00:00+00:00,USGS,,14700.0,"1,6",,,,,,,
09427520,1996-04-16 00:00:00+00:00,USGS,,17100.0,"1,6",,,,,,,
09429500,1990-09-04 00:00:00+00:00,USGS,,1360.0,"1,6",,,,,,,
09429500,1991-09-07 00:00:00+00:00,USGS,,2880.0,"1,6",,,,,,,
09429500,1992-03-08 00:00:00+00:00,USGS,,3970.0,"1,6",,,,,,,
09429500,1992-12-29 00:00:00+00:00,USGS,,2370.0,"1,6",,,,,,,
09429500,1994-05-08 00:00:00+00:00,USGS,,2360.0,"1,6",,,,,,,
09429500,1995-04-21 00:00:00+00:00,USGS,,2020.0,"1,6",,,,,,,
09429500,1996-09-01 00:00:00+00:00,USGS,,1230.0,"1,6",,,,,,,
09429500,1997-09-18 00:00:00+00:00,USGS,,4020.0,"1,6",,,,,,,
09429500,1998-02-04 00:00:00+00:00,USGS,,7560.0,"1,6",8095.0,,,,,,
09429500,1999-01-01 00:00:00+00:00,USGS,,5190.0,"1,6",,,,,,,
09429500,1999-10-27 00:00:00+00:00,USGS,,4180.0,"1,6",,,,,,,
09429500,2001-02-27 00:00:00+00:00,USGS,,2970.0,"1,6",,,,,,,
09429500,2002-03-10 00:00:00+00:00,USGS,,3580.0,"1,6",,,,,,,
09429500,2003-02-26 00:00:00+00:00,USGS,,2940.0,"1,6",,,,,,,
09429500,2004-02-25 00:00:00+00:00,USGS,,3320.0,"1,6",,,,,,,
09429500,2005-08-10 00:00:00+00:00,USGS,,3100.0,"1,6",,,,,,,
09429500,2006-03-12 00:00:00+00:00,USGS,,3240.0,"1,6",,,,,,,
09429500,2008-08-31 00:00:00+00:00,USGS,,3130.0,"1,6",,,,,,,
09429500,2009-04-12 00:00:00+00:00,USGS,,3920.0,"1,6",,,,,,,
09429500,2010-03-08 00:00:00+00:00,USGS,,2120.0,"1,6",,,,,,,
09429500,2011-04-10 00:00:00+00:00,USGS,,3470.0,"1,6",,,,,,,
09429500,2012-07-14 00:00:00+00:00,USGS,,5730.0,"1,6",,,,,,,
09429500,2013-07-21 00:00:00+00:00,USGS,,3130.0,"1,6",,,,,,,
09429500,2016-04-10 00:00:00+00:00,USGS,14:00,,,11.04,,,,,,
09429600,1990-09-04 00:00:00+00:00,USGS,,2120.0,"1,6",,,,,,,
09429600,1991-09-07 00:00:00+00:00,USGS,,2880.0,"1,6",,,,,,,
09429600,1992-12-30 00:00:00+00:00,USGS,,2060.0,"1,6",,,,,,,
09429600,1994-03-24 00:00:00+00:00,USGS,,2330.0,"1,6",,,,,,,
09429600,1995-04-21 00:00:00+00:00,USGS,,1420.0,"1,6",,,,,,,
09429600,1995-11-01 00:00:00+00:00,USGS,,659.0,"1,6",,,,,,,
09521100,1990-09-04 00:00:00+00:00,USGS,,3610.0,6,12.4,,,,,,
09521100,1991-09-08 00:00:00+00:00,USGS,,3310.0,6,11.77,,,,,,
09521100,1992-03-31 00:00:00+00:00,USGS,,5710.0,,13.97,,,,,,
09521100,1993-03-04 00:00:00+00:00,USGS,,25600.0,6,22.8,,,,,,
09521100,1993-11-16 00:00:00+00:00,USGS,,5940.0,6,15.88,,,,,,
09521100,1995-06-21 00:00:00+00:00,USGS,,3830.0,6,16.35,,,,,,
09521100,1996-09-01 00:00:00+00:00,USGS,,1560.0,6,13.52,,,,,,
09527590,2004-07-29 00:00:00+00:00,USGS,,798.0,"1,6",,,,,,,
09527590,2005-07-09 00:00:00+00:00,USGS,,669.0,"1,6",,,,,,,
09527590,2009-09-09 00:00:00+00:00,USGS,06:15,,,11.5,,,,,,
09527590,2010-08-14 00:00:00+00:00,USGS,02:45,,,11.67,,,,,,
09527590,2011-06-19 00:00:00+00:00,USGS,20:15,,,11.61,,,,,,
09527590,2012-05-16 00:00:00+00:00,USGS,13:30,,,11.59,,,,,,
09527590,2013-09-04 00:00:00+00:00,USGS,14:00,,,11.56,,,,,,
09527590,2014-07-03 00:00:00+00:00,USGS,13:00,,,11.61,,,,,,
09527590,2015-04-10 00:00:00+00:00,USGS,18:15,,,11.41,,,,,,
09527590,2016-08-21 00:00:00+00:00,USGS,19:45,,,11.33,,,,,,
10250990,2015-10-18 00:00:00+00:00,USGS,20:00,3200.0,,,,,,,,
10251259,1993-02-26 00:00:00+00:00,USGS,,109.0,2,19.51,,,,,,
10251259,1994-04-28 00:00:00+00:00,USGS,,15.0,,18.01,,,,,,
10251259,1995-01-25 00:00:00+00:00,USGS,,55.0,2,19.27,,,,,,
10251259,1998-02-23 00:00:00+00:00,USGS,,30.0,2,,,,,,,
10251259,2001-07-06 00:00:00+00:00,USGS,,470.0,,20.27,,,,,,
10251259,2002-07-17 00:00:00+00:00,USGS,,28.0,,18.64,,,,,,
10251259,2003-02-12 00:00:00+00:00,USGS,,50.0,,19.24,,,,,,
10251259,2004-08-15 00:00:00+00:00,USGS,,220.0,,20.53,,,,,,
10251259,2004-11-08 00:00:00+00:00,USGS,,29.0,2,,,,,,,
10251259,2007-09-22 00:00:00+00:00,USGS,,660.0,,20.55,,,,,,
10251259,2010-02-27 00:00:00+00:00,USGS,,5.0,2,17.79,,,,,,
10251259,2010-12-22 00:00:00+00:00,USGS,,152.0,,19.71,,,,,,
10251259,2012-08-03 00:00:00+00:00,USGS,,170.0,,19.35,,,,,,
10251259,2013-08-18 00:00:00+00:00,USGS,,447.0,,20.27,,,,,,
10251259,2014-08-04 00:00:00+00:00,USGS,,87.4,,19.46,,,,,,
10251259,2015-04-25 00:00:00+00:00,USGS,,22.5,,18.38,,,,,,
10251259,2015-10-18 00:00:00+00:00,USGS,,232.0,,20.39,,,,,,
10251259,2016-12-24 00:00:00+00:00,USGS,12:00,8.3,,17.89,,,,,,
10251259,2018-07-12 00:00:00+00:00,USGS,13:00,22.4,,18.37,,,,,,
10251259,2019-03-06 00:00:00+00:00,USGS,12:00,22.8,,18.65,,,,,,
10251259,2020-03-12 00:00:00+00:00,USGS,13:00,6.33,,17.83,,,,,,
10251259,2021-06-29 00:00:00+00:00,USGS,13:00,8.3,,17.89,,,,,,
102512597,1998-02-23 00:00:00+00:00,USGS,,20.0,,,,,,,,
10251280,1998-02-24 00:00:00+00:00,USGS,,190.0,,,,,,,,
10251300,1990-07-16 00:00:00+00:00,USGS,13:00,1160.0,"O,R",9.15,6,,,,,
10251300,1992-03-30 00:00:00+00:00,USGS,,508.0,,4.29,,,,,,
10251300,1993-02-08 00:00:00+00:00,USGS,,720.0,,5.0,,,,,,
10251300,1994-02-08 00:00:00+00:00,USGS,,1.7,,2.15,,,,,,
10251300,1995-01-10 00:00:00+00:00,USGS,,498.0,,5.04,,,,,,
10251300,1998-02-24 00:00:00+00:00,USGS,,250.0,2,,,,,,,
10251300,1999-09-13 00:00:00+00:00,USGS,,134.0,,5.62,,,,,,
10251300,2000-02-23 00:00:00+00:00,USGS,,107.0,,5.29,,,,,,
10251300,2001-07-06 00:00:00+00:00,USGS,,188.0,,5.68,,,,,,
10251300,2002-01-15 00:00:00+00:00,USGS,,3.1,,4.45,,,,,,
10251300,2003-08-20 00:00:00+00:00,USGS,,615.0,2,,,,,,,
10251300,2003-12-25 00:00:00+00:00,USGS,,92.0,,6.11,,,,,,
10251300,2005-02-22 00:00:00+00:00,USGS,,1100.0,,8.32,,,,,,
10251300,2006-07-09 00:00:00+00:00,USGS,,66.0,,5.94,,,,,,
10251300,2007-09-22 00:00:00+00:00,USGS,,1400.0,,9.1,,,,,,
10251300,2008-09-08 00:00:00+00:00,USGS,23:45,131.0,,6.91,,,,,,
10251300,2009-02-07 00:00:00+00:00,USGS,16:45,26.0,,6.09,,,,,,
10251300,2010-01-21 00:00:00+00:00,USGS,19:30,102.0,,6.76,,,,,,
10251300,2010-12-22 00:00:00+00:00,USGS,09:15,1510.0,R,13.66,,,,,,
10251300,2012-04-14 00:00:00+00:00,USGS,12:15,3.7,,5.86,2,,2011-12-13,900.0,5.95,
10251300,2013-08-25 00:00:00+00:00,USGS,09:30,215.0,,7.12,,,,,,
10251300,2013-11-22 00:00:00+00:00,USGS,01:15,58.0,,6.81,,,,,,
10251300,2015-02-23 00:00:00+00:00,USGS,06:15,84.0,,6.99,,,,,,
10251300,2015-10-20 00:00:00+00:00,USGS,00:30,2290.0,,14.51,,,,,,
10251300,2017-09-08 00:00:00+00:00,USGS,19:00,1360.0,,13.37,,,,,,
10251300,2018-01-09 00:00:00+00:00,USGS,12:30,176.0,,8.07,,,,,,
10251300,2019-03-06 00:00:00+00:00,USGS,13:00,108.0,,7.72,,,,,,
10251300,2020-03-13 00:00:00+00:00,USGS,,731.0,,9.52,,,,,,
10251300,2021-07-26 00:00:00+00:00,USGS,05:00,790.0,,9.68,,,,,,
10251330,2007-09-22 00:00:00+00:00,USGS,,1200.0,,18.96,,,,,,
10251330,2007-10-30 00:00:00+00:00,USGS,15:00,108.0,,17.59,,,,,,
10251330,2009-02-08 00:00:00+00:00,USGS,06:15,13.0,,17.67,,,,,,
10251330,2010-01-21 00:00:00+00:00,USGS,,29.0,2,,,,2010-08-18,200.0,18.21,
10251330,2010-12-22 00:00:00+00:00,USGS,07:45,2200.0,,20.29,2,,2011-09-11,415.0,24.31,
