,site_no,analyze_start,analyze_end,analyze_range,quantile,valid,missing,threshold,hmf_years,annual_hmf,six_mo_hmf,three_mo_hmf,annual_duration,event_duration,event_hmf,inter_annual,intra_annual,timing,jan_hmf,feb_hmf,mar_hmf,apr_hmf,may_hmf,jun_hmf,jul_hmf,aug_hmf,sep_hmf,oct_hmf,nov_hmf,dec_hmf,dec_lat_va,dec_long_va,data_start,data_end,total_record,State,HCDN_2009
1,11342000,1990-10-01,2020-09-30,30,0.9,True,0.0,2860.0,30,0.2277435623476608,0.2087573205836563,0.1318353543595066,36.4,5.526582491582491,0.03785895088998408,1.0,5.7,139.3,0.08360956054962297,0.07063689093394226,0.07028677920409397,0.04793493915229825,0.0351470965346928,0.0209304537980832,0.0,0.0,0.0,0.0222393717153216,0.008465151389990402,0.06060330733072896,40.93959397,-122.4172351,1944-10-01,2020-09-30,76.0,CA,False
2,11372000,1990-10-01,2020-09-30,30,0.9,True,0.0,362.0,30,0.03144966846417849,0.02799461447777837,0.01977591479781254,36.5,4.739568302068302,0.004508665863857703,1.0,7.2,146.3333333333333,0.01168105261674557,0.01112351528025492,0.007928684097487593,0.003783701040364461,0.00409504319821728,0.003062359791416714,0.0,0.0,0.0,0.00217011250951488,0.0006005401975424493,0.005190777007680096,40.51320587,-122.5241795,1940-10-01,2020-09-30,80.0,CA,False
3,11374000,1990-10-01,2020-09-30,30,0.9,True,0.0,1630.0,30,0.2045859092773171,0.1962545040171878,0.1445192175163968,36.33333333333334,3.943871175121175,0.02200639683842185,1.0,9.0,130.8333333333333,0.07648952513194769,0.05581128136082688,0.04653284748300721,0.01872016594275638,0.0279154269825984,0.0079595257771008,0.0,0.0,0.0,0.0009133882039296,0.0099483878148984,0.0492098088931848,40.50487467,-122.2330577,1949-10-01,2020-09-30,71.0,CA,False
4,11376000,1990-10-01,2020-09-30,30,0.9,True,0.0,2120.0,30,0.2780932715640979,0.2715829340355533,0.1969240501916755,36.43333333333333,6.322302234802235,0.04884585444063943,1.0,5.3,129.8,0.128091821932032,0.1152370444672852,0.0832791015220608,0.03868647582492,0.0228125694147264,0.0178110699766272,0.0,0.0,0.0,0.0,0.006666918363503999,0.06275610192314203,40.38709797,-122.2386119,1940-10-01,2020-09-30,80.0,CA,False
5,11379500,1990-10-01,2020-09-30,30,0.9,True,0.0,246.0,30,0.0344946763890288,0.03291108959046586,0.02333209390679059,36.5,5.27013468013468,0.005060992638548113,1.0,6.1,133.0,0.01439687380184928,0.01336108268195477,0.01007884271813184,0.00518901197817888,0.00578300556972672,0.00234218832293376,0.0,0.0,0.0,0.0,0.00051133428916416,0.008639721751025054,40.02376507,-122.5119462,1948-10-01,2020-09-30,72.0,CA,False
6,11381500,1990-10-01,2020-09-30,30,0.9,True,0.0,608.3000000000011,30,0.0466006747124007,0.04266459950785435,0.02990074148585391,36.53333333333333,3.894168007918009,0.005372880043026113,1.0,8.033333333333333,133.7666666666667,0.01676192945088854,0.01331088146601326,0.01187694547241381,0.007398754351398925,0.00725776635792092,0.003248128063533664,0.0007158680048298027,0.0,0.0,0.000520019632353308,0.00177360416598758,0.01345438851787061,40.0546022,-122.0241541,1928-10-01,2020-09-30,92.0,CA,True
7,11383500,1990-10-01,2020-09-30,30,0.9,True,0.0,709.3000000000011,30,0.07021836553795571,0.06652822826256921,0.0431378079947563,36.53333333333333,5.465576923076923,0.011030495595865,1.0,5.9,136.2666666666667,0.02736365623648941,0.02209837450286327,0.02113395327954065,0.01721971384728906,0.008775071347310322,0.005403262093871,0.0,0.0,0.0,0.0,0.004303118623245116,0.01725445964823672,40.0140214,-121.9482872,1911-10-01,2020-09-30,109.0,CA,True
8,11418500,1990-10-01,2020-09-30,30,0.9,True,0.0,288.3000000000011,30,0.04408339313287436,0.04303421998612844,0.02847558676441364,36.53333333333333,4.728982221482221,0.006020836690814066,1.0,7.266666666666667,136.4333333333333,0.01496661452178093,0.01519855544396344,0.01324083627405652,0.00749232771079078,0.003577138106157489,0.0,0.0,0.0,0.0,0.0004596591185196425,0.00219800347074201,0.008011837639905307,39.22433764,-121.2685697,1935-10-01,2020-09-30,85.0,CA,False
10,11449500,1990-10-01,2020-09-30,30,0.9,True,0.0,148.0,30,0.03020688963920678,0.0298849202973216,0.02251501922686464,36.46666666666667,4.927805435305436,0.004263115180163503,1.0,7.333333333333333,124.2333333333333,0.01077023331713952,0.01069082155253448,0.006813908622322099,0.00226338820221528,0.0013246459028928,0.00010030959739584,0.0,0.0,0.0,0.00028624933891008,0.002907021064042368,0.007290239087898328,38.92739984,-122.8436046,1946-10-01,2020-09-30,74.0,CA,False
11,11289000,1990-10-01,2020-09-30,30,0.9,True,0.0,884.0,30,0.01306756775505888,0.000937935511910208,1.22328777312e-05,36.4,2.697729624572942,0.0009571371244400232,1.0,14.33333333333333,275.4,0.00022997810134656,0.00013700823058944,0.00197193989026944,0.00127938425528736,0.0018131843214912,0.00315825718846848,0.004825912447295404,0.00307643282853312,0.0008303899819897309,0.000469497847323456,0.0,0.0,37.67243198,-120.4749183,1909-01-01,2020-09-30,111.7,CA,False
12,11289500,1990-10-01,2020-09-30,30,0.9,True,0.0,1810.0,30,0.02226709957151232,0.00224350977590208,0.00013211507949696,36.4,2.876444838930133,0.00165564904191224,1.0,12.56666666666667,265.2333333333333,0.0,0.0010520274848832,0.00251018651044224,0.0027314268419808,0.002665328183315576,0.0046342218471696,0.0117553424301376,0.0041872687404352,0.000489315109248,0.0015535754718624,0.0,0.0029114249000256,37.66576548,-120.4410283,1900-10-01,2020-09-30,120.0,CA,False
13,11162630,1990-10-01,2020-09-30,30,0.9,True,0.0,36.53000000000011,30,0.006979739143896602,0.006973148069375031,0.005055271790001223,36.53333333333333,7.109835257335257,0.001282073164876956,1.0,4.933333333333334,132.0,0.002511467904384581,0.002950154190922576,0.002175758273846818,0.0008162335239524331,3.770784560642367e-05,0.0,0.0,0.0,0.0,4.690085322142055e-05,8.361905901939035e-05,0.001469944529476068,37.46660747,-122.434142,1966-07-01,2020-09-30,54.3,CA,False
14,11164500,1990-10-01,2020-09-30,30,0.9,True,0.0,40.0,30,0.01340615750015486,0.01338906409233846,0.00991995045179927,36.4,5.62502405002405,0.002068956909478189,1.0,5.866666666666666,135.0,0.0050492092499363,0.005706994253871961,0.003681064380447786,0.001155843840561984,9.0197085138048e-05,0.0,0.0,0.0,0.0,0.00024221097907776,0.0003452118095744641,0.002914591056614852,37.42327257,-122.1894095,1930-10-01,2020-09-30,90.0,CA,False
17,11176900,1990-10-01,2020-09-30,30,0.9,True,0.0,120.0,30,0.03838489461258681,0.03763607939040096,0.02792912780565735,36.46666666666667,3.101127190662795,0.0031270198333846,1.0,11.53333333333333,130.5,0.01196776680500943,0.01517331202698816,0.009594724682404424,0.0025634674890048,0.0005443630590384,0.0003302876987424,0.0,0.0,0.00015413425941312,0.001587582871955136,0.001060324567170449,0.004377958741877539,37.62659915,-121.8830126,1912-04-01,2020-09-30,108.5,CA,False
18,11179000,1990-10-01,2020-09-30,30,0.9,True,0.0,245.0,30,0.06469218748864167,0.06386508184897613,0.04458402773164973,36.36666666666667,4.204231601731601,0.00720525881320289,1.0,7.666666666666667,137.7666666666667,0.02000095897180752,0.02878484206871025,0.02013840155820046,0.006617497537469952,0.00164440458901656,0.0004844219581555201,0.0,0.0,0.0,0.00267227214038064,0.0009403485070077741,0.00689383824541776,37.58715679,-121.960793,1900-10-01,2020-09-30,120.0,CA,False
