,index,datetime,00060_Mean,00060_Mean_cd,site_no,flow_bool
0,22116,1990-01-01 00:00:00+00:00,0.0,A,06774000,0
1,22117,1990-01-02 00:00:00+00:00,0.0,A,06774000,0
2,22118,1990-01-03 00:00:00+00:00,0.0,A,06774000,0
3,22119,1990-01-04 00:00:00+00:00,0.0,A,06774000,0
4,22120,1990-01-05 00:00:00+00:00,0.0,A,06774000,0
5,22121,1990-01-06 00:00:00+00:00,0.0,A,06774000,0
6,22122,1990-01-07 00:00:00+00:00,0.0,A,06774000,0
7,22123,1990-01-08 00:00:00+00:00,0.0,A,06774000,0
8,22124,1990-01-09 00:00:00+00:00,0.0,A,06774000,0
9,22125,1990-01-10 00:00:00+00:00,0.0,A,06774000,0
10,22126,1990-01-11 00:00:00+00:00,0.0,A,06774000,0
11,22127,1990-01-12 00:00:00+00:00,0.0,A,06774000,0
12,22128,1990-01-13 00:00:00+00:00,0.0,A,06774000,0
13,22129,1990-01-14 00:00:00+00:00,0.0,A,06774000,0
14,22130,1990-01-15 00:00:00+00:00,0.0,A,06774000,0
15,22131,1990-01-16 00:00:00+00:00,0.0,A,06774000,0
16,22132,1990-01-17 00:00:00+00:00,0.0,A,06774000,0
17,22133,1990-01-18 00:00:00+00:00,0.0,A,06774000,0
18,22134,1990-01-19 00:00:00+00:00,0.0,A,06774000,0
19,22135,1990-01-20 00:00:00+00:00,0.0,A,06774000,0
20,22136,1990-01-21 00:00:00+00:00,0.0,A,06774000,0
21,22137,1990-01-22 00:00:00+00:00,0.0,A,06774000,0
22,22138,1990-01-23 00:00:00+00:00,0.0,A,06774000,0
23,22139,1990-01-24 00:00:00+00:00,0.0,A,06774000,0
24,22140,1990-01-25 00:00:00+00:00,0.0,A,06774000,0
25,22141,1990-01-26 00:00:00+00:00,0.0,A,06774000,0
26,22142,1990-01-27 00:00:00+00:00,0.0,A,06774000,0
27,22143,1990-01-28 00:00:00+00:00,0.0,A,06774000,0
28,22144,1990-01-29 00:00:00+00:00,0.0,A,06774000,0
29,22145,1990-01-30 00:00:00+00:00,0.0,A,06774000,0
30,22146,1990-01-31 00:00:00+00:00,0.0,A,06774000,0
31,22147,1990-02-01 00:00:00+00:00,0.0,A,06774000,0
32,22148,1990-02-02 00:00:00+00:00,0.0,A,06774000,0
33,22149,1990-02-03 00:00:00+00:00,0.0,A,06774000,0
34,22150,1990-02-04 00:00:00+00:00,0.0,A,06774000,0
35,22151,1990-02-05 00:00:00+00:00,0.0,A,06774000,0
36,22152,1990-02-06 00:00:00+00:00,0.0,A,06774000,0
37,22153,1990-02-07 00:00:00+00:00,0.0,A,06774000,0
