,site_no,event,start,end,hmf,duration
0,13335050,1,1991-05-19,1991-06-01,0.00408333458667456,14
1,13335050,2,1991-06-30,1991-07-02,0.00041347126731456,3
2,13335050,3,1993-03-24,1993-03-28,0.0010324548805132798,5
3,13335050,4,1993-04-03,1993-04-07,0.0007731178726118401,5
4,13335050,5,1993-04-09,1993-04-09,9.78630218496e-06,1
5,13335050,6,1993-04-26,1993-05-08,0.0030337536773376,13
6,13335050,7,1993-05-11,1993-05-18,0.0012355206508512001,8
7,13335050,8,1995-02-01,1995-02-05,0.00128934531286848,5
8,13335050,9,1995-02-18,1995-02-26,0.0024098769130464,9
9,13335050,10,1995-03-10,1995-03-24,0.0030508797061612803,15
10,13335050,11,1995-04-08,1995-04-09,9.541644630336e-05,2
11,13335050,12,1995-04-30,1995-04-30,4.89315109248e-06,1
12,13335050,13,1995-05-07,1995-05-20,0.00304353997952256,14
13,13335050,14,1995-11-30,1995-12-05,0.00194992071035328,6
14,13335050,15,1995-12-12,1995-12-16,0.0028502605113696,5
15,13335050,16,1996-02-07,1996-02-25,0.017647149415029123,19
16,13335050,17,1996-03-11,1996-03-15,0.00029848221664128004,5
17,13335050,18,1996-04-03,1996-04-03,1.22328777312e-05,1
18,13335050,19,1996-04-08,1996-04-20,0.0017615343932928,13
19,13335050,20,1996-04-23,1996-05-05,0.012695280509439362,13
20,13335050,21,1996-05-14,1996-05-26,0.00383623045650432,13
21,13335050,22,1996-12-10,1996-12-12,0.0011865891399264002,3
22,13335050,23,1996-12-30,1997-01-11,0.022772725184401918,13
23,13335050,24,1997-01-31,1997-02-06,0.00511089631609536,7
24,13335050,25,1997-02-16,1997-02-21,0.00034741372756608,6
25,13335050,26,1997-03-11,1997-03-30,0.00428150720592,20
26,13335050,27,1997-04-17,1997-05-23,0.025632771997956477,37
27,13335050,28,1997-05-28,1997-06-16,0.007327493760988799,20
28,13335050,29,1998-03-24,1998-03-25,0.00018104659042176,2
29,13335050,30,1998-04-24,1998-04-26,0.0010716000892531201,3
30,13335050,31,1998-04-29,1998-05-10,0.0033860605559961603,12
31,13335050,32,1998-05-23,1998-05-23,9.296987075712e-05,1
32,13335050,33,1998-05-25,1998-07-04,0.015457464301144318,41
33,13335050,34,1998-11-25,1998-11-29,0.00012722192840448,5
34,13335050,35,1998-12-01,1998-12-04,0.0021603262073299203,4
35,13335050,36,1998-12-28,1999-01-12,0.011540496851614079,16
36,13335050,37,1999-01-14,1999-01-18,0.00100064939841216,5
37,13335050,38,1999-02-24,1999-03-07,0.0123429736307808,12
38,13335050,39,1999-03-14,1999-03-16,0.00016881371269056,3
39,13335050,40,1999-03-19,1999-04-03,0.007970943129649919,16
40,13335050,41,1999-04-17,1999-05-07,0.00567116211618432,21
41,13335050,42,1999-05-09,1999-05-09,1.957260436992e-05,1
42,13335050,43,1999-05-13,1999-05-13,2.201917991616e-05,1
43,13335050,44,1999-05-18,1999-07-01,0.026927010461917433,45
44,13335050,45,2000-02-15,2000-02-15,0.00010275617294208,1
45,13335050,46,2000-03-28,2000-03-28,2.44657554624e-06,1
46,13335050,47,2000-04-03,2000-04-07,0.00092480555647872,5
47,13335050,48,2000-04-10,2000-04-25,0.0032857509586003203,16
48,13335050,49,2000-05-04,2000-05-04,9.78630218496e-06,1
49,13335050,50,2001-04-28,2001-04-28,4.89315109248e-06,1
50,13335050,51,2002-03-12,2002-03-13,0.0004526164760544,2
51,13335050,52,2002-03-24,2002-03-25,0.00012966850395072001,2
52,13335050,53,2002-04-06,2002-04-18,0.0030655591594387203,13
53,13335050,54,2002-05-03,2002-05-03,1.4679453277440001e-05,1
54,13335050,55,2002-05-20,2002-05-21,0.000122328777312,2
55,13335050,56,2002-05-28,2002-05-30,0.00013700823058944,3
56,13335050,57,2003-02-01,2003-02-01,2.44657554624e-06,1
57,13335050,58,2003-03-12,2003-03-27,0.0035230687865856008,16
58,13335050,59,2003-04-01,2003-04-03,6.361096420224e-05,3
59,13335050,60,2003-04-13,2003-04-15,7.584384193344e-05,3
60,13335050,61,2006-01-13,2006-01-15,0.00064100279311488,3
61,13335050,62,2006-04-01,2006-04-02,1.467945327744e-05,2
62,13335050,63,2006-04-05,2006-05-03,0.004773268890714239,29
63,13335050,64,2006-05-07,2006-05-07,2.44657554624e-06,1
64,13335050,65,2006-05-16,2006-05-24,0.0013382768237932803,9
65,13335050,66,2007-03-13,2007-03-14,0.00011254247512704,2
66,13335050,67,2007-12-04,2007-12-05,0.0002201917991616,2
67,13335050,68,2008-04-14,2008-04-16,0.00022753152580032,3
68,13335050,69,2008-04-29,2008-06-14,0.035304085132243195,47
69,13335050,70,2009-03-21,2009-03-25,0.0014336932700966401,5
70,13335050,71,2009-03-29,2009-03-29,2.691233100864e-05,1
71,13335050,72,2009-04-03,2009-04-03,2.44657554624e-06,1
72,13335050,73,2009-04-07,2009-04-16,0.005832636102236161,10
73,13335050,74,2009-04-20,2009-06-02,0.020282111278329594,44
74,13335050,75,2010-06-04,2010-06-06,0.00027646303672512003,3
75,13335050,76,2011-01-17,2011-01-17,0.00010030959739584001,1
76,13335050,77,2011-03-11,2011-03-11,7.3397266387200005e-06,1
77,13335050,78,2011-03-14,2011-03-16,0.00023487125243904,3
78,13335050,79,2011-03-22,2011-03-22,3.180548210112e-05,1
79,13335050,80,2011-03-31,2011-04-09,0.004205663363986561,10
80,13335050,81,2011-05-08,2011-05-09,6.850411529472e-05,2
81,13335050,82,2011-05-11,2011-06-15,0.017414724738136322,36
82,13335050,83,2012-03-16,2012-05-19,0.02909467639588609,65
83,13335050,84,2012-05-22,2012-05-22,7.3397266387200005e-06,1
84,13335050,85,2012-12-02,2012-12-06,0.0006214301887449601,5
85,13335050,86,2013-04-05,2013-04-09,0.00040857811622208,5
86,13335050,87,2014-03-03,2014-03-19,0.00875384730444672,17
87,13335050,88,2014-03-29,2014-04-02,0.0007462055416032,5
88,13335050,89,2014-04-09,2014-04-13,0.00036943290748223996,5
89,13335050,90,2014-04-25,2014-04-26,3.425205764736e-05,2
90,13335050,91,2014-05-03,2014-05-07,0.00024955070571647996,5
91,13335050,92,2015-02-09,2015-02-12,0.0006728082752160001,4
92,13335050,93,2017-02-10,2017-02-12,0.0017150494579142401,3
93,13335050,94,2017-02-16,2017-02-23,0.0024588084239711996,8
94,13335050,95,2017-03-10,2017-04-11,0.024825402067697292,33
95,13335050,96,2017-04-13,2017-06-02,0.011332537930183675,51
96,13335050,97,2018-02-05,2018-02-06,0.00021285207252288,2
97,13335050,98,2018-03-15,2018-03-16,0.00017615343932928,2
98,13335050,99,2018-03-23,2018-03-23,5.627123756352e-05,1
99,13335050,100,2018-04-08,2018-04-18,0.00230222758901184,11
100,13335050,101,2018-04-27,2018-05-02,0.0009737370674035201,6
101,13335050,102,2018-05-04,2018-05-18,0.0019915124946393603,15
102,13335050,103,2018-05-25,2018-05-29,0.00098107679404224,5
103,13335050,104,2019-03-23,2019-03-31,0.00213586045186752,9
104,13335050,105,2019-04-04,2019-04-29,0.013003549028265601,26
105,13335050,106,2019-05-12,2019-05-14,3.6698633193600003e-05,3
106,13335050,107,2019-05-17,2019-05-17,2.201917991616e-05,1
107,13335050,108,2020-02-07,2020-02-10,0.0014581590255590402,4
108,13335050,109,2020-04-23,2020-05-07,0.00189364947278976,15
109,13335050,110,2020-05-11,2020-05-15,0.00030092879218752,5
110,13335050,111,2020-05-18,2020-05-26,0.0038876085429753603,9
111,11447650,1,1993-01-16,1993-01-29,0.59818772105568,14
112,11447650,2,1993-02-11,1993-02-14,0.028380276336384,4
113,11447650,3,1993-02-20,1993-03-01,0.432554556575232,10
114,11447650,4,1993-03-19,1993-04-10,1.1831639341616638,23
115,11447650,5,1995-01-10,1995-02-19,2.4524473275509764,41
116,11447650,6,1995-03-05,1995-03-06,0.016881371269056002,2
117,11447650,7,1995-03-09,1995-04-25,2.8470799631594885,48
118,11447650,8,1995-04-30,1995-05-19,1.252891337229504,20
119,11447650,9,1996-01-26,1996-03-22,2.786404889612736,57
120,11447650,10,1996-05-17,1996-05-27,0.49641017833209605,11
121,11447650,11,1996-12-11,1997-02-16,5.009118773371775,68
