datetime,00060_Mean,00060_Mean_cd,site_no,offsetdate
1970-12-03 00:00:00+00:00,112320000.0,A,11447650,1970-10-01 00:00:00+00:00
1970-12-04 00:00:00+00:00,155520000.0,A,11447650,1970-10-01 00:00:00+00:00
1970-12-05 00:00:00+00:00,345600000.0,A,11447650,1970-10-01 00:00:00+00:00
1970-12-06 00:00:00+00:00,267840000.0,A,11447650,1970-10-01 00:00:00+00:00
1970-12-07 00:00:00+00:00,224640000.0,A,11447650,1970-10-01 00:00:00+00:00
1970-12-08 00:00:00+00:00,164160000.0,A,11447650,1970-10-01 00:00:00+00:00
1970-12-09 00:00:00+00:00,112320000.0,A,11447650,1970-10-01 00:00:00+00:00
1970-12-10 00:00:00+00:00,43200000.0,A,11447650,1970-10-01 00:00:00+00:00
1970-12-11 00:00:00+00:00,95040000.0,A,11447650,1970-10-01 00:00:00+00:00
1970-12-12 00:00:00+00:00,103680000.0,A,11447650,1970-10-01 00:00:00+00:00
1970-12-13 00:00:00+00:00,34560000.0,A,11447650,1970-10-01 00:00:00+00:00
1971-01-20 00:00:00+00:00,112320000.0,A,11447650,1970-10-01 00:00:00+00:00
1971-01-21 00:00:00+00:00,216000000.0,A,11447650,1970-10-01 00:00:00+00:00
1971-01-22 00:00:00+00:00,190080000.0,A,11447650,1970-10-01 00:00:00+00:00
1971-01-23 00:00:00+00:00,112320000.0,A,11447650,1970-10-01 00:00:00+00:00
1973-01-13 00:00:00+00:00,1175040000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-01-14 00:00:00+00:00,1814400000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-01-15 00:00:00+00:00,1736640000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-01-16 00:00:00+00:00,1175040000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-01-17 00:00:00+00:00,1270080000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-01-18 00:00:00+00:00,1710720000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-01-19 00:00:00+00:00,2030400000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-01-20 00:00:00+00:00,1693440000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-01-21 00:00:00+00:00,1218240000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-01-22 00:00:00+00:00,699840000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-01-23 00:00:00+00:00,380160000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-01-24 00:00:00+00:00,198720000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-01-25 00:00:00+00:00,138240000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-01-26 00:00:00+00:00,120960000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-02-10 00:00:00+00:00,267840000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-02-11 00:00:00+00:00,552960000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-02-12 00:00:00+00:00,561600000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-02-13 00:00:00+00:00,691200000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-02-14 00:00:00+00:00,786240000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-02-15 00:00:00+00:00,751680000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-02-16 00:00:00+00:00,371520000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-02-17 00:00:00+00:00,190080000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-02-18 00:00:00+00:00,103680000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-02-19 00:00:00+00:00,8640000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-03-01 00:00:00+00:00,302400000.0,A,11447650,1972-10-01 00:00:00+00:00
1973-03-02 00:00:00+00:00,354240000.0,A,11447650,1972-10-01 00:00:00+00:00
