,datetime,00060_Mean,00060_Mean_cd,site_no
61,1970-12-01 00:00:00+00:00,53700,A,11447650
62,1970-12-02 00:00:00+00:00,65900,A,11447650
63,1970-12-03 00:00:00+00:00,70500,A,11447650
64,1970-12-04 00:00:00+00:00,71000,A,11447650
65,1970-12-05 00:00:00+00:00,73200,A,11447650
66,1970-12-06 00:00:00+00:00,72300,A,11447650
67,1970-12-07 00:00:00+00:00,71800,A,11447650
68,1970-12-08 00:00:00+00:00,71100,A,11447650
69,1970-12-09 00:00:00+00:00,70500,A,11447650
70,1970-12-10 00:00:00+00:00,69700,A,11447650
71,1970-12-11 00:00:00+00:00,70300,A,11447650
72,1970-12-12 00:00:00+00:00,70400,A,11447650
73,1970-12-13 00:00:00+00:00,69600,A,11447650
74,1970-12-14 00:00:00+00:00,68500,A,11447650
75,1970-12-15 00:00:00+00:00,67200,A,11447650
76,1970-12-16 00:00:00+00:00,66000,A,11447650
77,1970-12-17 00:00:00+00:00,65400,A,11447650
78,1970-12-18 00:00:00+00:00,65200,A,11447650
79,1970-12-19 00:00:00+00:00,64700,A,11447650
80,1970-12-20 00:00:00+00:00,63900,A,11447650
81,1970-12-21 00:00:00+00:00,63400,A,11447650
82,1970-12-22 00:00:00+00:00,63100,A,11447650
83,1970-12-23 00:00:00+00:00,62700,A,11447650
84,1970-12-24 00:00:00+00:00,62200,A,11447650
85,1970-12-25 00:00:00+00:00,60100,A,11447650
86,1970-12-26 00:00:00+00:00,56800,A,11447650
87,1970-12-27 00:00:00+00:00,53300,A,11447650
88,1970-12-28 00:00:00+00:00,50400,A,11447650
90,1970-12-30 00:00:00+00:00,50000,A,11447650
91,1970-12-31 00:00:00+00:00,51200,A,11447650
92,1971-01-01 00:00:00+00:00,51400,A,11447650
93,1971-01-02 00:00:00+00:00,51300,A,11447650
94,1971-01-03 00:00:00+00:00,50900,A,11447650
109,1971-01-18 00:00:00+00:00,52100,A,11447650
110,1971-01-19 00:00:00+00:00,61100,A,11447650
111,1971-01-20 00:00:00+00:00,70500,A,11447650
112,1971-01-21 00:00:00+00:00,71700,A,11447650
113,1971-01-22 00:00:00+00:00,71400,A,11447650
114,1971-01-23 00:00:00+00:00,70500,A,11447650
115,1971-01-24 00:00:00+00:00,69200,A,11447650
116,1971-01-25 00:00:00+00:00,68100,A,11447650
117,1971-01-26 00:00:00+00:00,66400,A,11447650
118,1971-01-27 00:00:00+00:00,64400,A,11447650
119,1971-01-28 00:00:00+00:00,62800,A,11447650
120,1971-01-29 00:00:00+00:00,61300,A,11447650
121,1971-01-30 00:00:00+00:00,58400,A,11447650
122,1971-01-31 00:00:00+00:00,54800,A,11447650
