,datetime,00060_Mean,00060_Mean_cd,site_no
0,1970-01-01 00:00:00+00:00,66000.0,A,11447650
1,1970-01-02 00:00:00+00:00,62400.0,A,11447650
2,1970-01-03 00:00:00+00:00,58900.0,A,11447650
3,1970-01-04 00:00:00+00:00,56200.0,A,11447650
4,1970-01-05 00:00:00+00:00,52500.0,A,11447650
5,1970-01-06 00:00:00+00:00,46600.0,A,11447650
6,1970-01-07 00:00:00+00:00,40300.0,A,11447650
7,1970-01-08 00:00:00+00:00,36800.0,A,11447650
8,1970-01-09 00:00:00+00:00,35400.0,A,11447650
9,1970-01-10 00:00:00+00:00,36800.0,A,11447650
10,1970-01-11 00:00:00+00:00,43600.0,A,11447650
11,1970-01-12 00:00:00+00:00,50100.0,A,11447650
12,1970-01-13 00:00:00+00:00,57800.0,A,11447650
13,1970-01-14 00:00:00+00:00,66500.0,A,11447650
14,1970-01-15 00:00:00+00:00,71600.0,A,11447650
15,1970-01-16 00:00:00+00:00,78700.0,A,11447650
16,1970-01-17 00:00:00+00:00,90200.0,A,11447650
17,1970-01-18 00:00:00+00:00,93500.0,A,11447650
18,1970-01-19 00:00:00+00:00,93100.0,A,11447650
19,1970-01-20 00:00:00+00:00,87900.0,A,11447650
20,1970-01-21 00:00:00+00:00,84900.0,A,11447650
21,1970-01-22 00:00:00+00:00,89500.0,A,11447650
22,1970-01-23 00:00:00+00:00,93300.0,A,11447650
23,1970-01-24 00:00:00+00:00,93800.0,A,11447650
24,1970-01-25 00:00:00+00:00,93000.0,A,11447650
25,1970-01-26 00:00:00+00:00,89100.0,A,11447650
26,1970-01-27 00:00:00+00:00,87100.0,A,11447650
27,1970-01-28 00:00:00+00:00,84500.0,A,11447650
28,1970-01-29 00:00:00+00:00,80700.0,A,11447650
29,1970-01-30 00:00:00+00:00,79400.0,A,11447650
30,1970-01-31 00:00:00+00:00,77900.0,A,11447650
31,1970-02-01 00:00:00+00:00,76600.0,A,11447650
32,1970-02-02 00:00:00+00:00,76800.0,A,11447650
33,1970-02-03 00:00:00+00:00,75800.0,A,11447650
34,1970-02-04 00:00:00+00:00,74000.0,A,11447650
35,1970-02-05 00:00:00+00:00,72700.0,A,11447650
36,1970-02-06 00:00:00+00:00,71900.0,A,11447650
37,1970-02-07 00:00:00+00:00,71300.0,A,11447650
38,1970-02-08 00:00:00+00:00,70100.0,A,11447650
39,1970-02-09 00:00:00+00:00,69200.0,A,11447650
40,1970-02-10 00:00:00+00:00,67800.0,A,11447650
41,1970-02-11 00:00:00+00:00,66700.0,A,11447650
42,1970-02-12 00:00:00+00:00,66100.0,A,11447650
43,1970-02-13 00:00:00+00:00,65900.0,A,11447650
44,1970-02-14 00:00:00+00:00,66000.0,A,11447650
45,1970-02-15 00:00:00+00:00,66600.0,A,11447650
46,1970-02-16 00:00:00+00:00,66200.0,A,11447650
47,1970-02-17 00:00:00+00:00,65700.0,A,11447650
48,1970-02-18 00:00:00+00:00,65900.0,A,11447650
49,1970-02-19 00:00:00+00:00,65400.0,A,11447650
50,1970-02-20 00:00:00+00:00,64400.0,A,11447650
51,1970-02-21 00:00:00+00:00,63100.0,A,11447650
52,1970-02-22 00:00:00+00:00,62100.0,A,11447650
53,1970-02-23 00:00:00+00:00,60700.0,A,11447650
54,1970-02-24 00:00:00+00:00,58900.0,A,11447650
55,1970-02-25 00:00:00+00:00,58300.0,A,11447650
56,1970-02-26 00:00:00+00:00,57100.0,A,11447650
57,1970-02-27 00:00:00+00:00,53700.0,A,11447650
58,1970-02-28 00:00:00+00:00,50700.0,A,11447650
59,1970-03-01 00:00:00+00:00,49500.0,A,11447650
60,1970-03-02 00:00:00+00:00,52800.0,A,11447650
61,1970-03-03 00:00:00+00:00,57900.0,A,11447650
62,1970-03-04 00:00:00+00:00,59400.0,A,11447650
63,1970-03-05 00:00:00+00:00,58800.0,A,11447650
64,1970-03-06 00:00:00+00:00,57700.0,A,11447650
65,1970-03-07 00:00:00+00:00,57500.0,A,11447650
66,1970-03-08 00:00:00+00:00,57100.0,A,11447650
67,1970-03-09 00:00:00+00:00,58400.0,A,11447650
68,1970-03-10 00:00:00+00:00,59600.0,A,11447650
69,1970-03-11 00:00:00+00:00,61000.0,A,11447650
70,1970-03-12 00:00:00+00:00,61000.0,A,11447650
71,1970-03-13 00:00:00+00:00,59900.0,A,11447650
72,1970-03-14 00:00:00+00:00,57600.0,A,11447650
73,1970-03-15 00:00:00+00:00,54500.0,A,11447650
74,1970-03-16 00:00:00+00:00,51900.0,A,11447650
75,1970-03-17 00:00:00+00:00,48500.0,A,11447650
76,1970-03-18 00:00:00+00:00,44100.0,A,11447650
77,1970-03-19 00:00:00+00:00,40400.0,A,11447650
78,1970-03-20 00:00:00+00:00,38000.0,A,11447650
79,1970-03-21 00:00:00+00:00,34000.0,A,11447650
80,1970-03-22 00:00:00+00:00,30500.0,A,11447650
81,1970-03-23 00:00:00+00:00,28700.0,A,11447650
82,1970-03-24 00:00:00+00:00,27500.0,A,11447650
83,1970-03-25 00:00:00+00:00,26600.0,A,11447650
84,1970-03-26 00:00:00+00:00,25900.0,A,11447650
85,1970-03-27 00:00:00+00:00,24400.0,A,11447650
86,1970-03-28 00:00:00+00:00,22400.0,A,11447650
87,1970-03-29 00:00:00+00:00,21600.0,A,11447650
88,1970-03-30 00:00:00+00:00,21400.0,A,11447650
89,1970-03-31 00:00:00+00:00,21800.0,A,11447650
90,1970-04-01 00:00:00+00:00,21700.0,A,11447650
91,1970-04-02 00:00:00+00:00,20800.0,A,11447650
92,1970-04-03 00:00:00+00:00,20000.0,A,11447650
93,1970-04-04 00:00:00+00:00,19000.0,A,11447650
94,1970-04-05 00:00:00+00:00,18000.0,A,11447650
95,1970-04-06 00:00:00+00:00,17400.0,A,11447650
96,1970-04-07 00:00:00+00:00,17000.0,A,11447650
97,1970-04-08 00:00:00+00:00,16400.0,A,11447650
98,1970-04-09 00:00:00+00:00,15900.0,A,11447650
99,1970-04-10 00:00:00+00:00,15500.0,A,11447650
100,1970-04-11 00:00:00+00:00,15400.0,A,11447650
101,1970-04-12 00:00:00+00:00,14700.0,A,11447650
102,1970-04-13 00:00:00+00:00,14200.0,A,11447650
103,1970-04-14 00:00:00+00:00,14800.0,A,11447650
104,1970-04-15 00:00:00+00:00,13800.0,A,11447650
105,1970-04-16 00:00:00+00:00,13500.0,A,11447650
106,1970-04-17 00:00:00+00:00,13400.0,A,11447650
107,1970-04-18 00:00:00+00:00,12800.0,A,11447650
108,1970-04-19 00:00:00+00:00,12100.0,A,11447650
109,1970-04-20 00:00:00+00:00,11600.0,A,11447650
110,1970-04-21 00:00:00+00:00,11100.0,A,11447650
111,1970-04-22 00:00:00+00:00,11100.0,A,11447650
112,1970-04-23 00:00:00+00:00,10800.0,A,11447650
113,1970-04-24 00:00:00+00:00,10600.0,A,11447650
114,1970-04-25 00:00:00+00:00,11100.0,A,11447650
115,1970-04-26 00:00:00+00:00,11500.0,A,11447650
116,1970-04-27 00:00:00+00:00,12000.0,A,11447650
117,1970-04-28 00:00:00+00:00,12500.0,A,11447650
118,1970-04-29 00:00:00+00:00,14400.0,A,11447650
119,1970-04-30 00:00:00+00:00,15500.0,A,11447650
120,1970-05-01 00:00:00+00:00,15600.0,A,11447650
121,1970-05-02 00:00:00+00:00,15300.0,A,11447650
122,1970-05-03 00:00:00+00:00,15200.0,A,11447650
123,1970-05-04 00:00:00+00:00,15100.0,A,11447650
124,1970-05-05 00:00:00+00:00,15500.0,A,11447650
125,1970-05-06 00:00:00+00:00,15500.0,A,11447650
126,1970-05-07 00:00:00+00:00,15200.0,A,11447650
127,1970-05-08 00:00:00+00:00,14900.0,A,11447650
128,1970-05-09 00:00:00+00:00,14200.0,A,11447650
129,1970-05-10 00:00:00+00:00,14200.0,A,11447650
130,1970-05-11 00:00:00+00:00,15200.0,A,11447650
131,1970-05-12 00:00:00+00:00,17100.0,A,11447650
132,1970-05-13 00:00:00+00:00,17500.0,A,11447650
133,1970-05-14 00:00:00+00:00,17500.0,A,11447650
134,1970-05-15 00:00:00+00:00,17400.0,A,11447650
135,1970-05-16 00:00:00+00:00,16600.0,A,11447650
136,1970-05-17 00:00:00+00:00,15600.0,A,11447650
137,1970-05-18 00:00:00+00:00,15000.0,A,11447650
138,1970-05-19 00:00:00+00:00,13700.0,A,11447650
139,1970-05-20 00:00:00+00:00,13500.0,A,11447650
140,1970-05-21 00:00:00+00:00,13200.0,A,11447650
141,1970-05-22 00:00:00+00:00,13000.0,A,11447650
142,1970-05-23 00:00:00+00:00,12800.0,A,11447650
143,1970-05-24 00:00:00+00:00,12800.0,A,11447650
