,datetime,00060_Mean,00060_Mean_cd,site_no
0,1948-10-01 00:00:00+00:00,10400.0,A,11447650
1,1948-10-02 00:00:00+00:00,10300.0,A,11447650
2,1948-10-03 00:00:00+00:00,10300.0,A,11447650
3,1948-10-04 00:00:00+00:00,10200.0,A,11447650
4,1948-10-05 00:00:00+00:00,9900.0,A,11447650
5,1948-10-06 00:00:00+00:00,10100.0,A,11447650
6,1948-10-07 00:00:00+00:00,10300.0,A,11447650
7,1948-10-08 00:00:00+00:00,10300.0,A,11447650
8,1948-10-09 00:00:00+00:00,10300.0,A,11447650
9,1948-10-10 00:00:00+00:00,10000.0,A,11447650
10,1948-10-11 00:00:00+00:00,10100.0,A,11447650
11,1948-10-12 00:00:00+00:00,9980.0,A,11447650
12,1948-10-13 00:00:00+00:00,10100.0,A,11447650
13,1948-10-14 00:00:00+00:00,10400.0,A,11447650
14,1948-10-15 00:00:00+00:00,10200.0,A,11447650
15,1948-10-16 00:00:00+00:00,10100.0,A,11447650
16,1948-10-17 00:00:00+00:00,10200.0,A,11447650
17,1948-10-18 00:00:00+00:00,10200.0,A,11447650
18,1948-10-19 00:00:00+00:00,10200.0,A,11447650
19,1948-10-20 00:00:00+00:00,9970.0,A,11447650
20,1948-10-21 00:00:00+00:00,9730.0,A,11447650
21,1948-10-22 00:00:00+00:00,9660.0,A,11447650
22,1948-10-23 00:00:00+00:00,9440.0,A,11447650
23,1948-10-24 00:00:00+00:00,9460.0,A,11447650
24,1948-10-25 00:00:00+00:00,9590.0,A,11447650
25,1948-10-26 00:00:00+00:00,9710.0,A,11447650
26,1948-10-27 00:00:00+00:00,9570.0,A,11447650
27,1948-10-28 00:00:00+00:00,9800.0,A,11447650
28,1948-10-29 00:00:00+00:00,9760.0,A,11447650
29,1948-10-30 00:00:00+00:00,9880.0,A,11447650
30,1948-10-31 00:00:00+00:00,10300.0,A,11447650
31,1948-11-01 00:00:00+00:00,10500.0,A,11447650
32,1948-11-02 00:00:00+00:00,10400.0,A,11447650
33,1948-11-03 00:00:00+00:00,12400.0,A,11447650
