,site_no,water_year,annual_hmf,annual_duration,event_hmf,event_duration,total_events,timing
0,13335050,1990,0.00449680585398912,17,0.00224840292699456,8.5,2.0,237.0
1,13335050,1991,0.0,0,0.0,0.0,0.0,
2,13335050,1992,0.00608463338349888,32,0.001216926676699776,6.4,5.0,214.0
3,13335050,1993,0.0,0,0.0,0.0,0.0,
4,13335050,1994,0.00989395150899456,46,0.00164899191816576,7.666666666666667,6.0,168.0
5,13335050,1995,0.04105109109036096,75,0.00513138638629512,9.375,8.0,165.0
6,13335050,1996,0.06665939733285504,106,0.009522771047550721,15.142857142857142,7.0,201.0
7,13335050,1997,0.02018914140757248,59,0.004037828281514496,11.8,5.0,244.0
8,13335050,1998,0.06795118922126976,129,0.006177380838297251,11.727272727272727,11.0,198.0
9,13335050,1999,0.00432554556575232,24,0.000865109113150464,4.8,5.0,196.0
10,13335050,2000,4.89315109248e-06,1,4.89315109248e-06,1.0,1.0,210.0
11,13335050,2001,0.00392186060062272,23,0.00065364343343712,3.8333333333333335,6.0,195.0
12,13335050,2002,0.00366497016826752,23,0.00091624254206688,5.75,4.0,171.0
13,13335050,2003,0.0,0,0.0,0.0,0.0,
14,13335050,2004,0.0,0,0.0,0.0,0.0,
15,13335050,2005,0.00676967453644608,44,0.001353934907289216,8.8,5.0,200.0
16,13335050,2006,0.00011254247512704,2,0.00011254247512704,2.0,1.0,164.0
17,13335050,2007,0.035751808457205124,52,0.011917269485735042,17.333333333333332,3.0,236.0
18,13335050,2008,0.02757779955721728,61,0.005515559911443456,12.2,5.0,216.0
19,13335050,2009,0.00027646303672512003,3,0.00027646303672512003,3.0,1.0,248.0
20,13335050,2010,0.022063218275992322,54,0.00315188832514176,7.714285714285714,7.0,233.0
21,13335050,2011,0.0291020161225248,66,0.0145510080612624,33.0,2.0,194.0
22,13335050,2012,0.00103000830496704,10,0.0005150041524835201,5.0,2.0,66.0
23,13335050,2013,0.010153288516896,34,0.0020306577033792,6.8,5.0,164.0
24,13335050,2014,0.000672808275216,4,0.0006728082752160001,4.0,1.0,130.0
25,13335050,2015,0.0,0,0.0,0.0,0.0,
26,13335050,2016,0.0403317978797664,95,0.0100829494699416,23.75,4.0,183.0
27,13335050,2017,0.0066938306945126405,42,0.0009562615277875201,6.0,7.0,213.0
28,13335050,2018,0.01519812729324288,39,0.00379953182331072,9.75,4.0,192.0
29,13335050,2019,0.00754034583351168,33,0.00188508645837792,8.25,4.0,218.0
