,Parameter Code,Count
0,agency_cd,5236
1,site_no,5236
2,sample_dt,5236
3,sample_tm,5236
4,sample_end_dt,5236
5,sample_end_tm,5236
6,sample_start_time_datum_cd,5236
7,tm_datum_rlbty_cd,5236
8,coll_ent_cd,5236
9,medium_cd,5236
10,project_cd,5236
11,aqfr_cd,5236
12,tu_id,5236
13,body_part_id,5236
14,hyd_cond_cd,5236
15,samp_type_cd,5236
16,hyd_event_cd,5236
17,sample_lab_cm_txt,5236
18,p00010,4945
19,p00020,3298
20,p00025,3099
21,p00028,4009
22,p00061,4583
23,p00065,3747
24,p00076,1055
25,p00095,4709
26,p00191,3782
27,p00300,3540
28,p00301,3159
29,p00400,3782
30,p00403,2550
31,p00405,2663
32,p00453,1521
33,p00600,2514
34,p00602,1748
35,p00605,2770
36,p00607,1863
37,p00608,2911
38,p00613,2660
39,p00618,2698
40,p00623,1703
41,p00625,2420
42,p00631,2971
43,p00660,2923
44,p00665,3061
45,p00666,2198
46,p00671,2922
47,p00681,1518
48,p00689,759
49,p00900,2780
50,p00904,1431
51,p00915,2659
52,p00925,2650
53,p00930,2556
54,p00931,2550
55,p00932,2523
56,p00935,2529
57,p00940,2933
58,p00945,2831
59,p00950,2236
60,p00955,2263
61,p01046,2187
62,p01056,2153
63,p04024,863
64,p04028,850
65,p04029,685
66,p04035,1003
67,p04037,1064
68,p04040,1011
69,p04041,975
70,p04095,942
71,p30207,3747
72,p30209,4583
73,p34253,845
74,p34653,845
75,p38442,520
76,p38478,554
77,p38482,520
78,p38487,520
79,p38501,521
80,p38538,514
81,p38711,520
82,p38746,520
83,p38811,568
84,p38866,520
85,p38933,1014
86,p39086,1604
87,p39341,846
88,p39381,943
89,p39415,1078
90,p39532,942
91,p39542,845
92,p39572,1014
93,p39630,291
94,p39632,1020
95,p39732,523
96,p39742,399
97,p39762,399
98,p46342,1009
99,p49235,520
100,p49236,521
101,p49291,519
102,p49292,521
103,p49293,521
104,p49294,521
105,p49295,507
106,p49296,521
107,p49297,521
108,p49298,296
109,p49299,394
110,p49300,521
111,p49301,520
112,p49302,521
113,p49303,394
114,p49304,520
115,p49305,520
116,p49306,464
117,p49308,521
118,p49309,521
119,p49310,520
120,p49311,521
121,p49312,521
122,p49313,521
123,p49314,521
124,p49315,520
125,p50280,2767
126,p61188,521
127,p70300,2136
128,p70301,2231
129,p70302,2348
130,p70303,2535
131,p70314,24
132,p70331,1924
133,p71846,2912
134,p71851,2637
135,p71856,2660
136,p71999,3448
137,p80154,2608
138,p80155,2353
139,p82619,69
140,p82630,1004
141,p82660,942
142,p82661,942
143,p82663,846
144,p82664,943
145,p82665,842
146,p82666,846
147,p82667,943
148,p82668,913
149,p82669,846
150,p82670,951
151,p82671,913
152,p82672,913
153,p82673,943
154,p82674,913
155,p82675,943
156,p82676,943
157,p82677,913
158,p82678,846
159,p82679,913
160,p82680,1015
161,p82681,913
162,p82682,943
163,p82683,946
164,p82684,846
165,p82685,913
166,p82686,939
167,p82687,943
168,p82694,25
169,p82697,24
170,p90095,3082
171,p90410,1835
172,p91063,846
173,p91064,629
174,p91065,846
175,p99819,329
176,p99821,217
177,p99835,385
178,p99847,218
179,p99857,350
180,p00500,137
181,p01000,1462
182,p01002,771
183,p01045,868
184,p01147,735
185,p01305,1022
186,p29801,753
187,p62452,38
188,p62453,38
189,p62454,38
190,p62455,38
191,p63680,928
192,p82398,3765
193,p84164,3300
194,p99156,893
195,p99159,803
196,p99206,1024
197,p00002,35
198,p00410,593
199,p00452,1203
200,p00610,1470
201,p00615,1022
202,p00620,1027
203,p00630,1354
204,p00650,1027
205,p01005,1265
206,p01010,1151
207,p01025,1590
208,p01030,1406
209,p01035,1038
210,p01040,1620
211,p01049,1625
212,p01060,1061
213,p01065,1355
214,p01075,1297
215,p01080,1181
216,p01085,928
217,p01090,1629
218,p01106,1354
219,p01130,977
220,p01145,1337
221,p03515,129
222,p03516,88
223,p04126,115
224,p04127,78
225,p09511,101
226,p22703,618
227,p31625,1080
228,p31673,773
229,p70507,1025
230,p71845,1475
231,p71870,499
232,p71887,1145
233,p71890,961
234,p75986,110
235,p75987,119
236,p75988,110
237,p75989,119
238,p75990,107
239,p76001,93
240,p76004,88
241,p76005,88
242,p80030,112
243,p80040,88
244,p80050,112
245,p80060,88
246,p82086,32
247,p99111,2423
248,p99891,239
249,p99892,246
250,p99893,237
251,p99894,219
252,p63676,948
253,p84182,1141
254,p00060,680
255,p00310,609
256,p00680,1022
257,p30208,680
258,p31633,625
259,p99100,84
260,p99101,76
261,p99102,106
262,p99898,466
263,p99899,473
264,p00340,315
265,p00530,1222
266,p00723,49
267,p30234,246
268,p30235,38
269,p30236,38
270,p30245,38
271,p30254,38
272,p30255,38
273,p30264,38
274,p30282,37
275,p30295,38
276,p30296,37
277,p30311,38
278,p30324,38
279,p39024,43
280,p39030,47
281,p39051,45
282,p39052,38
283,p39054,40
284,p39055,46
285,p39056,252
286,p39057,40
287,p39750,252
288,p75980,46
289,p75981,54
290,p77441,44
291,p77825,67
292,p81757,54
293,p82184,40
294,p82611,47
295,p82612,260
296,p82615,47
297,p99808,27
298,p99815,20
299,p99861,24
300,p99869,16
301,p01020,1005
302,p01055,801
303,p34221,191
304,p34248,191
305,p34288,193
306,p34377,191
307,p34409,182
308,p34443,191
309,p34459,94
310,p34462,191
311,p34466,187
312,p34470,191
313,p34476,187
314,p34572,191
315,p50284,263
316,p50305,375
317,p50359,359
318,p61705,192
319,p61706,192
320,p62005,206
321,p62054,188
322,p62055,188
323,p62056,188
324,p62057,188
325,p62058,188
326,p62059,173
327,p62060,188
328,p62061,188
329,p62062,188
330,p62063,188
331,p62064,188
332,p62065,189
333,p62066,188
334,p62067,182
335,p62068,188
336,p62069,92
337,p62070,188
338,p62071,188
339,p62072,188
340,p62073,188
341,p62075,189
342,p62076,188
343,p62077,188
344,p62078,188
345,p62079,188
346,p62080,188
347,p62081,188
348,p62082,186
349,p62083,187
350,p62084,188
351,p62085,178
352,p62086,188
353,p62087,188
354,p62088,188
355,p62089,188
356,p62090,188
357,p62091,188
358,p62092,188
359,p62093,188
360,p91741,172
361,p91747,75
362,p99585,188
363,p99586,188
364,p99587,188
365,p00004,1924
366,p00034,5
367,p00041,1010
368,p00063,2090
369,p00335,126
370,p00417,251
371,p00916,514
372,p00927,503
373,p01027,991
374,p01034,776
375,p01042,989
376,p01051,1070
377,p01059,242
378,p01067,816
379,p01092,1040
380,p01097,285
381,p31615,177
382,p31621,52
383,p31685,24
384,p31689,30
385,p32211,55
386,p50015,684
387,p61028,326
388,p62361,65
389,p63675,328
390,p71900,730
391,p72053,393
392,p82079,99
393,p84171,1538
394,p85328,1
395,p99160,125
396,p99165,537
397,p99171,577
398,p99172,408
399,p99173,608
400,p99870,700
401,p99871,232
402,p00029,400
403,p00572,589
404,p00573,563
405,p01095,686
406,p04022,407
407,p04064,149
408,p34790,514
409,p34795,557
410,p34800,561
411,p34805,558
412,p34810,561
413,p34816,487
414,p34825,561
415,p34830,506
416,p34835,551
417,p34840,561
418,p34845,561
419,p34850,561
420,p34855,494
421,p34860,551
422,p34870,498
423,p34875,502
424,p34880,514
425,p34885,545
426,p34890,561
427,p34895,564
428,p34900,508
429,p34905,560
430,p34910,548
431,p34915,561
432,p34920,498
433,p34925,561
434,p34930,551
435,p34935,499
436,p34940,507
437,p34945,551
438,p34950,549
439,p34955,561
440,p34960,507
441,p34965,561
442,p34970,534
443,p34975,521
444,p34980,549
445,p34985,496
446,p35000,559
447,p35005,561
448,p35010,545
449,p35015,498
450,p35020,561
451,p49237,365
452,p49238,365
453,p49239,368
454,p49240,368
455,p49241,368
456,p49242,368
457,p49243,368
458,p49244,368
459,p49245,368
460,p49246,365
461,p49247,365
462,p49248,365
463,p49249,368
464,p49250,368
465,p49251,368
466,p49252,368
467,p49253,368
468,p49254,362
469,p49255,368
470,p49257,368
471,p49258,409
472,p49260,870
473,p49261,336
474,p49264,344
475,p49266,537
476,p49267,535
477,p49269,515
478,p49274,504
479,p49275,471
480,p49276,428
481,p49277,422
482,p49289,375
483,p49316,479
484,p49317,478
485,p49318,478
486,p49319,479
487,p49320,479
488,p49321,479
489,p49322,474
490,p49324,479
491,p49325,459
492,p49326,451
493,p49327,471
494,p49328,479
495,p49329,459
496,p49330,459
497,p49331,479
498,p49332,471
499,p49335,479
500,p49338,479
501,p49339,471
502,p49341,479
503,p49342,479
504,p49343,483
505,p49344,479
506,p49345,479
507,p49346,469
508,p49347,470
509,p49348,479
510,p49349,468
511,p49350,465
512,p49351,479
513,p49353,374
514,p49354,375
515,p49355,369
516,p49356,375
517,p49357,374
518,p49358,375
519,p49359,374
520,p49360,375
521,p49361,375
522,p49362,375
523,p49363,375
524,p49364,375
525,p49365,372
526,p49366,375
527,p49367,372
528,p49368,375
529,p49369,375
530,p49370,375
531,p49371,374
532,p49372,375
533,p49373,374
534,p49374,375
535,p49375,370
536,p49376,375
537,p49377,375
538,p49378,375
539,p49379,375
540,p49380,375
541,p49459,479
542,p49460,616
543,p49465,368
544,p49954,579
545,p62359,504
546,p70950,548
547,p70957,575
548,p70958,117
549,p80164,839
550,p90852,194
551,p90854,248
552,p90863,451
553,p90864,477
554,p90865,369
555,p90866,373
556,p99630,257
557,p99660,219
558,p99818,553
559,p99822,365
560,p99824,363
561,p99852,369
562,p99853,470
563,p99856,639
564,p04254,209
565,p30194,219
566,p30218,209
567,p32104,484
568,p34220,317
569,p34247,318
570,p34336,302
571,p34376,317
572,p34408,346
573,p34461,317
574,p34469,317
575,p34475,485
576,p34571,507
577,p34694,296
578,p34696,478
579,p38932,336
580,p39032,298
581,p39100,304
582,p39570,344
583,p61678,326
584,p61679,326
585,p61680,328
586,p61682,326
587,p61683,328
588,p61685,326
589,p61687,326
590,p61703,207
591,p61704,208
592,p61707,209
593,p61708,215
594,p61944,219
595,p61945,215
596,p61947,215
597,p61948,208
598,p62485,207
599,p62486,207
600,p62805,209
601,p62806,215
602,p62807,207
603,p62808,209
604,p62809,207
605,p62810,215
606,p62811,219
607,p62812,214
608,p62813,209
609,p62814,209
610,p62815,208
611,p62816,207
612,p62817,209
613,p62818,215
614,p62819,208
615,p62823,214
616,p62824,207
617,p62825,209
618,p62826,209
619,p62827,209
620,p62828,209
621,p62829,215
622,p62830,209
623,p62831,209
624,p62832,209
625,p62833,209
626,p62834,209
627,p62841,209
628,p62842,209
629,p63145,201
630,p63147,210
631,p63163,158
632,p63165,158
633,p63166,153
634,p63167,301
635,p63168,159
636,p63170,135
637,p63171,158
638,p63173,158
639,p63174,151
640,p63175,158
641,p63176,158
642,p63178,158
643,p63179,158
644,p63180,301
645,p63181,298
646,p63182,158
647,p63183,301
648,p63184,158
649,p63185,158
650,p63186,158
651,p63187,300
652,p63188,109
653,p63189,158
654,p63192,158
655,p63194,301
656,p63195,158
657,p63196,135
658,p63198,158
659,p63200,151
660,p63201,151
661,p63202,300
662,p63203,158
663,p63206,151
664,p63208,301
665,p63209,158
666,p63210,158
667,p63211,158
668,p63212,158
669,p63213,158
670,p63214,158
671,p63215,158
672,p63218,158
673,p63219,158
674,p63220,302
675,p63221,151
676,p63222,158
677,p63224,301
678,p63225,158
679,p63226,189
680,p63227,335
681,p63229,185
682,p63230,192
683,p63231,192
684,p63232,192
685,p63234,192
686,p64527,74
687,p64528,75
688,p64529,75
689,p64530,75
690,p64531,74
691,p64532,75
692,p64533,74
693,p64534,75
694,p64535,75
695,p64536,75
696,p64537,74
697,p64538,75
698,p64539,75
699,p64540,75
700,p64541,74
701,p64542,75
702,p64543,64
703,p64544,74
704,p64545,75
705,p65064,338
706,p65065,361
707,p65066,333
708,p65067,336
709,p65068,338
710,p65069,340
711,p65070,338
